Allocation,Vehicle,Cost ($),carbon_emissions_per_km,Fuel,No_of_vehicles,Max Vehicles,Demand,Yearly Range,Utilization (%),Demand_Fulfillment (%)
"Size S1, Distance D1",BEV,452744.96,0.0,Electricity,3,12,1196265,102000,390.94,25.0
"Size S1, Distance D1",Diesel,1016455.11,813319.18,B20,7,12,1196265,102000,167.54,58.33
"Size S1, Distance D1",LNG,406920.27,460203.87,LNG,2,12,1196265,102000,586.4,16.67
"Size S1, Distance D2",BEV,892458.97,0.0,Electricity,6,39,3953052,102000,645.92,15.38
"Size S1, Distance D2",Diesel,2270854.92,2687609.36,B20,16,39,3953052,102000,242.22,41.03
"Size S1, Distance D2",LNG,2759201.35,1520741.51,LNG,17,39,3953052,102000,227.97,43.59
"Size S1, Distance D3",BEV,1162180.2,0.0,Electricity,8,46,4663966,102000,571.56,17.39
"Size S1, Distance D3",Diesel,2679124.93,3170947.08,B20,19,46,4663966,102000,240.66,41.3
"Size S1, Distance D3",LNG,3081734.24,1794230.56,LNG,19,46,4663966,102000,240.66,41.3
"Size S1, Distance D4",Diesel,602714.76,428388.28,B20,4,7,630092,102000,154.43,57.14
"Size S1, Distance D4",LNG,511287.78,242396.78,LNG,3,7,630092,102000,205.91,42.86
"Size S2, Distance D1",Diesel,1557882.62,956789.04,B20,9,14,1402031,106000,146.96,64.29
"Size S2, Distance D1",LNG,1106927.68,542959.44,LNG,5,14,1402031,106000,264.53,35.71
"Size S2, Distance D2",BEV,498849.77,0.0,Electricity,2,20,2079105,106000,980.71,10.0
"Size S2, Distance D2",Diesel,1743755.93,1418845.14,B20,10,20,2079105,106000,196.14,50.0
"Size S2, Distance D2",LNG,1743682.47,805167.42,LNG,8,20,2079105,106000,245.18,40.0
"Size S2, Distance D3",Diesel,1069695.1,772396.94,B20,6,11,1131832,106000,177.96,54.55
"Size S2, Distance D3",LNG,1099082.93,438320.46,LNG,5,11,1131832,106000,213.55,45.45
"Size S2, Distance D4",LNG,440042.53,72315.41,LNG,2,2,186733,106000,88.08,100.0
"Size S3, Distance D1",BEV,783431.4,0.0,Electricity,3,43,3128820,73000,1428.68,6.98
"Size S3, Distance D1",Diesel,4783104.64,2137396.76,B20,25,43,3128820,73000,171.44,58.14
"Size S3, Distance D1",LNG,3664777.03,1197513.68,LNG,15,43,3128820,73000,285.74,34.88
"Size S3, Distance D2",BEV,787964.49,0.0,Electricity,3,45,3274991,73000,1495.43,6.67
"Size S3, Distance D2",Diesel,4785252.0,2237250.84,B20,25,45,3274991,73000,179.45,55.56
"Size S3, Distance D2",LNG,4147136.78,1253458.66,LNG,17,45,3274991,73000,263.9,37.78
"Size S3, Distance D3",Diesel,2502440.65,946129.49,B20,13,19,1384988,73000,145.94,68.42
"Size S3, Distance D3",LNG,1487057.46,530085.49,LNG,6,19,1384988,73000,316.21,31.58
"Size S3, Distance D4",Diesel,784831.57,200059.28,B20,4,5,292856,73000,100.29,80.0
"Size S3, Distance D4",LNG,284338.92,112086.69,LNG,1,5,292856,73000,401.17,20.0
"Size S4, Distance D1",BEV,295019.97,0.0,Electricity,1,1,23254,118000,19.71,100.0
"Size S4, Distance D2",Diesel,1524098.11,768352.07,B20,6,10,1146520,118000,161.94,60.0
"Size S4, Distance D2",LNG,1281907.3,439764.28,LNG,4,10,1146520,118000,242.91,40.0
"Size S4, Distance D3",Diesel,513279.83,104892.13,B20,2,2,156518,118000,66.32,100.0
"Size S4, Distance D4",Diesel,243411.53,1617.77,B20,1,1,2414,118000,2.05,100.0
