Allocation,Vehicle,Cost ($),carbon_emissions_per_km,Fuel,No_of_vehicles,Max Vehicles,Demand,Yearly Range,Utilization (%),Demand_Fulfillment (%)
"Size S1, Distance D1",BEV,581986.19,0.0,Electricity,4,13,1254358,102000,307.44,30.77
"Size S1, Distance D1",Diesel,1049499.82,852815.57,B20,7,13,1254358,102000,175.68,53.85
"Size S1, Distance D1",LNG,420201.04,482552.29,LNG,2,13,1254358,102000,614.88,15.38
"Size S1, Distance D2",BEV,1555423.46,0.0,Electricity,11,40,3994169,102000,355.99,27.5
"Size S1, Distance D2",Diesel,2339148.6,2715564.08,B20,16,40,3994169,102000,244.74,40.0
"Size S1, Distance D2",LNG,2190915.91,1536559.25,LNG,13,40,3994169,102000,301.22,32.5
"Size S1, Distance D3",BEV,1697535.85,0.0,Electricity,12,48,4847871,102000,396.07,25.0
"Size S1, Distance D3",Diesel,2897935.7,3295980.8,B20,20,48,4847871,102000,237.64,41.67
"Size S1, Distance D3",LNG,2685737.64,1864978.93,LNG,16,48,4847871,102000,297.05,33.33
"Size S1, Distance D4",Diesel,621423.82,436631.17,B20,4,7,642216,102000,157.41,57.14
"Size S1, Distance D4",LNG,526121.03,247060.89,LNG,3,7,642216,102000,209.87,42.86
"Size S2, Distance D1",BEV,465322.12,0.0,Electricity,2,14,1410693,106000,665.42,14.29
"Size S2, Distance D1",Diesel,1604477.43,962700.25,B20,9,14,1410693,106000,147.87,64.29
"Size S2, Distance D1",LNG,726787.4,546313.94,LNG,3,14,1410693,106000,443.61,21.43
"Size S2, Distance D2",Diesel,1962542.83,1468457.17,B20,11,21,2151804,106000,184.55,52.38
"Size S2, Distance D2",LNG,2227469.8,833321.3,LNG,10,21,2151804,106000,203.0,47.62
"Size S2, Distance D3",Diesel,1429636.03,810685.4,B20,8,12,1187938,106000,140.09,66.67
"Size S2, Distance D3",LNG,921426.36,460048.42,LNG,4,12,1187938,106000,280.17,33.33
"Size S2, Distance D4",LNG,453057.44,73924.89,LNG,2,2,190889,106000,90.04,100.0
"Size S3, Distance D1",BEV,1201682.0,0.0,Electricity,5,45,3229278,73000,884.73,11.11
"Size S3, Distance D1",Diesel,4541580.57,2206022.83,B20,23,45,3229278,73000,192.33,51.11
"Size S3, Distance D1",LNG,4270172.92,1235962.62,LNG,17,45,3229278,73000,260.22,37.78
"Size S3, Distance D2",BEV,784571.5,0.0,Electricity,3,46,3297618,73000,1505.76,6.52
"Size S3, Distance D2",Diesel,4928733.69,2252708.06,B20,25,46,3297618,73000,180.69,54.35
"Size S3, Distance D2",LNG,4518802.14,1262118.84,LNG,18,46,3297618,73000,250.96,39.13
"Size S3, Distance D3",BEV,522285.93,0.0,Electricity,2,20,1448550,73000,992.16,10.0
"Size S3, Distance D3",Diesel,2387320.82,989550.72,B20,12,20,1448550,73000,165.36,60.0
"Size S3, Distance D3",LNG,1531991.82,554412.99,LNG,6,20,1448550,73000,330.72,30.0
"Size S3, Distance D4",Diesel,809460.1,209660.01,B20,4,5,306910,73000,105.11,80.0
"Size S3, Distance D4",LNG,293367.44,117465.67,LNG,1,5,306910,73000,420.42,20.0
"Size S4, Distance D1",BEV,294949.94,0.0,Electricity,1,1,23437,118000,19.86,100.0
"Size S4, Distance D2",Diesel,1569341.43,769715.84,B20,6,10,1148555,118000,162.23,60.0
"Size S4, Distance D2",LNG,1318957.96,440544.83,LNG,4,10,1148555,118000,243.34,40.0
"Size S4, Distance D3",Diesel,529326.47,108154.47,B20,2,2,161386,118000,68.38,100.0
"Size S4, Distance D4",BEV,293081.9,0.0,Electricity,1,1,2446,118000,2.07,100.0
