Allocation,Vehicle,Cost ($),carbon_emissions_per_km,Fuel,No_of_vehicles,Max Vehicles,Demand,Yearly Range,Utilization (%),Demand_Fulfillment (%)
"Size S1, Distance D1",Diesel,561713.98,627533.91,B20,5,10,923004,102000,180.98,50.0
"Size S1, Distance D1",LNG,626060.58,371671.34,LNG,5,10,923004,102000,180.98,50.0
"Size S1, Distance D2",BEV,626843.42,0.0,Electricity,3,30,3023153,102000,987.96,10.0
"Size S1, Distance D2",Diesel,1291511.38,2055387.66,B20,12,30,3023153,102000,246.99,40.0
"Size S1, Distance D2",LNG,1821802.29,1217350.44,LNG,15,30,3023153,102000,197.59,50.0
"Size S1, Distance D3",Diesel,1495484.08,2435120.86,B20,14,36,3581681,102000,250.82,38.89
"Size S1, Distance D3",LNG,2650722.93,1442256.13,LNG,22,36,3581681,102000,159.61,61.11
"Size S1, Distance D4",Diesel,350345.52,317623.25,B20,3,5,467174,102000,152.67,60.0
"Size S1, Distance D4",LNG,275991.88,188119.65,LNG,2,5,467174,102000,229.01,40.0
"Size S2, Distance D1",Diesel,686666.97,760880.92,B20,5,11,1114957,106000,210.37,45.45
"Size S2, Distance D1",LNG,981874.27,450346.61,LNG,6,11,1114957,106000,175.31,54.55
"Size S2, Distance D2",Diesel,931383.05,1010050.03,B20,7,14,1480077,106000,199.47,50.0
"Size S2, Distance D2",LNG,1144659.85,597823.65,LNG,7,14,1480077,106000,199.47,50.0
"Size S2, Distance D3",Diesel,560428.03,588836.04,B20,4,9,862851,106000,203.5,44.44
"Size S2, Distance D3",LNG,821072.6,348517.5,LNG,5,9,862851,106000,162.8,55.56
"Size S2, Distance D4",LNG,329102.67,59152.38,LNG,2,2,146448,106000,69.08,100.0
"Size S3, Distance D1",BEV,700408.96,0.0,Electricity,2,33,2381369,73000,1631.07,6.06
"Size S3, Distance D1",Diesel,2300209.06,1626789.14,B20,16,33,2381369,73000,203.88,48.48
"Size S3, Distance D1",LNG,2729941.47,953733.19,LNG,15,33,2381369,73000,217.48,45.45
"Size S3, Distance D2",Diesel,2442278.04,1770381.41,B20,17,36,2591566,73000,208.83,47.22
"Size S3, Distance D2",LNG,3447627.33,1037916.64,LNG,19,36,2591566,73000,186.85,52.78
"Size S3, Distance D3",Diesel,1306565.13,777058.44,B20,9,16,1137494,73000,173.13,56.25
"Size S3, Distance D3",LNG,1288046.62,455563.91,LNG,7,16,1137494,73000,222.6,43.75
"Size S3, Distance D4",Diesel,445297.34,153661.64,B20,3,4,224937,73000,102.71,75.0
"Size S3, Distance D4",LNG,216118.03,90086.79,LNG,1,4,224937,73000,308.13,25.0
"Size S4, Distance D1",Diesel,185299.78,11079.09,B20,1,1,16532,118000,14.01,100.0
"Size S4, Distance D2",LNG,1863023.59,334904.35,LNG,8,8,829347,118000,87.85,100.0
"Size S4, Distance D3",LNG,472010.03,52401.3,LNG,2,2,129765,118000,54.99,100.0
"Size S4, Distance D4",Diesel,181062.9,1353.05,B20,1,1,2019,118000,1.71,100.0
