Allocation,Vehicle,Cost ($),carbon_emissions_per_km,Fuel,No_of_vehicles,Max Vehicles,Demand,Yearly Range,Utilization (%),Demand_Fulfillment (%)
"Size S1, Distance D1",Diesel,432192.68,596421.15,B20,4,9,877242,102000,215.01,44.44
"Size S1, Distance D1",LNG,575103.74,360969.16,LNG,5,9,877242,102000,172.01,55.56
"Size S1, Distance D2",Diesel,1353188.8,1846692.41,B20,14,27,2716195,102000,190.21,51.85
"Size S1, Distance D2",LNG,1454118.17,1117664.94,LNG,13,27,2716195,102000,204.84,48.15
"Size S1, Distance D3",Diesel,1542833.25,2268497.39,B20,16,33,3336604,102000,204.45,48.48
"Size S1, Distance D3",LNG,1888729.68,1372951.98,LNG,17,33,3336604,102000,192.42,51.52
"Size S1, Distance D4",Diesel,317335.13,285537.57,B20,3,5,419981,102000,137.25,60.0
"Size S1, Distance D4",LNG,253313.35,172814.56,LNG,2,5,419981,102000,205.87,40.0
"Size S2, Distance D1",Diesel,729809.57,711917.88,B20,6,10,1043209,106000,164.03,60.0
"Size S2, Distance D1",LNG,624178.37,428566.48,LNG,4,10,1043209,106000,246.04,40.0
"Size S2, Distance D2",Diesel,1065091.66,949934.7,B20,9,14,1391987,106000,145.91,64.29
"Size S2, Distance D2",LNG,772311.78,571849.9,LNG,5,14,1391987,106000,262.64,35.71
"Size S2, Distance D3",Diesel,510502.26,550773.46,B20,4,8,807076,106000,190.35,50.0
"Size S2, Distance D3",LNG,614368.08,331559.37,LNG,4,8,807076,106000,190.35,50.0
"Size S2, Distance D4",LNG,301529.1,54930.97,LNG,2,2,133712,106000,63.07,100.0
"Size S3, Distance D1",Diesel,1977170.43,1529832.91,B20,15,31,2239440,73000,204.52,48.39
"Size S3, Distance D1",LNG,2663364.38,917680.62,LNG,16,31,2239440,73000,191.73,51.61
"Size S3, Distance D2",Diesel,2233842.38,1676062.08,B20,17,34,2453497,73000,197.7,50.0
"Size S3, Distance D2",LNG,2829097.04,1005397.18,LNG,17,34,2453497,73000,197.7,50.0
"Size S3, Distance D3",Diesel,1193230.29,703198.9,B20,9,15,1029375,73000,156.68,60.0
"Size S3, Distance D3",LNG,1018500.11,421818.62,LNG,6,15,1029375,73000,235.02,40.0
"Size S3, Distance D4",Diesel,406503.56,142392.01,B20,3,3,208440,73000,95.18,100.0
"Size S4, Distance D1",Diesel,169324.62,10186.43,B20,1,1,15200,118000,12.88,100.0
"Size S4, Distance D2",Diesel,714147.14,523381.04,B20,4,7,780979,118000,165.46,57.14
"Size S4, Distance D2",LNG,677434.91,324789.6,LNG,3,7,780979,118000,220.62,42.86
"Size S4, Distance D3",LNG,432704.58,50814.1,LNG,2,2,122186,118000,51.77,100.0
"Size S4, Distance D4",Diesel,165677.43,1268.61,B20,1,1,1893,118000,1.6,100.0
