Allocation,Vehicle,Cost ($),carbon_emissions_per_km,Fuel,No_of_vehicles,Max Vehicles,Demand,Yearly Range,Utilization (%),Demand_Fulfillment (%)
"Size S1, Distance D1",Diesel,740777.64,708607.82,B20,6,11,1042251,102000,170.3,54.55
"Size S1, Distance D1",LNG,702523.15,400954.6,LNG,5,11,1042251,102000,204.36,45.45
"Size S1, Distance D2",BEV,653084.86,0.0,Electricity,4,33,3310718,102000,811.45,12.12
"Size S1, Distance D2",Diesel,1892832.54,2250897.96,B20,16,33,3310718,102000,202.86,48.48
"Size S1, Distance D2",LNG,1783647.8,1273635.23,LNG,13,33,3310718,102000,249.68,39.39
"Size S1, Distance D3",BEV,1300007.67,0.0,Electricity,9,40,4061449,102000,442.42,22.5
"Size S1, Distance D3",Diesel,1799265.82,2761306.55,B20,15,40,4061449,102000,265.45,37.5
"Size S1, Distance D3",LNG,2186356.68,1562441.91,LNG,16,40,4061449,102000,248.86,40.0
"Size S1, Distance D4",Diesel,498316.17,352621.54,B20,4,6,518651,102000,127.12,66.67
"Size S1, Distance D4",LNG,307289.25,199525.36,LNG,2,6,518651,102000,254.24,33.33
"Size S2, Distance D1",Diesel,1034844.1,846488.44,B20,7,12,1240402,106000,167.17,58.33
"Size S2, Distance D1",LNG,930245.53,480365.96,LNG,5,12,1240402,106000,234.04,41.67
"Size S2, Distance D2",Diesel,1185471.35,1152759.26,B20,8,16,1689196,106000,199.2,50.0
"Size S2, Distance D2",LNG,1460458.97,654168.78,LNG,8,16,1689196,106000,199.2,50.0
"Size S2, Distance D3",Diesel,634870.34,643854.29,B20,4,9,943472,106000,222.52,44.44
"Size S2, Distance D3",LNG,921316.21,365374.97,LNG,5,9,943472,106000,178.01,55.56
"Size S2, Distance D4",LNG,369355.08,62728.24,LNG,2,2,161977,106000,76.4,100.0
"Size S3, Distance D1",BEV,613288.17,0.0,Electricity,2,36,2619164,73000,1793.95,5.56
"Size S3, Distance D1",Diesel,3059763.69,1789234.49,B20,19,36,2619164,73000,188.84,52.78
"Size S3, Distance D1",LNG,3070082.01,1002449.71,LNG,15,36,2619164,73000,239.19,41.67
"Size S3, Distance D2",BEV,2096372.68,0.0,Electricity,9,39,2814164,73000,428.34,23.08
"Size S3, Distance D2",Diesel,3219380.24,1922445.21,B20,20,39,2814164,73000,192.75,51.28
"Size S3, Distance D2",LNG,2071242.01,1077083.33,LNG,10,39,2814164,73000,385.5,25.64
"Size S3, Distance D3",Diesel,1319471.44,843085.87,B20,8,17,1234148,73000,211.33,47.06
"Size S3, Distance D3",LNG,1846858.11,472353.51,LNG,9,17,1234148,73000,187.85,52.94
"Size S3, Distance D4",Diesel,502275.4,165873.31,B20,3,4,242813,73000,110.87,75.0
"Size S3, Distance D4",LNG,239024.77,92933.4,LNG,1,4,242813,73000,332.62,25.0
"Size S4, Distance D1",Diesel,209078.08,12563.49,B20,1,1,18747,118000,15.89,100.0
"Size S4, Distance D2",Diesel,887282.73,631264.1,B20,4,8,941960,118000,199.57,50.0
"Size S4, Distance D2",LNG,1074132.83,361302.34,LNG,4,8,941960,118000,199.57,50.0
"Size S4, Distance D3",LNG,529933.44,53582.42,LNG,2,2,139696,118000,59.19,100.0
"Size S4, Distance D4",Diesel,203822.64,1473.01,B20,1,1,2198,118000,1.86,100.0
