Allocation,Vehicle,Cost ($),carbon_emissions_per_km,Fuel,No_of_vehicles,Max Vehicles,Demand,Yearly Range,Utilization (%),Demand_Fulfillment (%)
"Size S1, Distance D1",Diesel,821187.7,686543.6,B20,7,10,1009798,102000,141.43,70.0
"Size S1, Distance D1",LNG,441670.11,388469.91,LNG,3,10,1009798,102000,330.0,30.0
"Size S1, Distance D2",BEV,656451.96,0.0,Electricity,4,33,3285854,102000,805.36,12.12
"Size S1, Distance D2",Diesel,1625400.15,2233993.37,B20,14,33,3285854,102000,230.1,42.42
"Size S1, Distance D2",LNG,1988404.91,1264070.04,LNG,15,33,3285854,102000,214.76,45.45
"Size S1, Distance D3",BEV,677518.53,0.0,Electricity,4,39,3959514,102000,970.47,10.26
"Size S1, Distance D3",Diesel,2171157.41,2692002.76,B20,19,39,3959514,102000,204.31,48.72
"Size S1, Distance D3",LNG,2123039.92,1523227.45,LNG,16,39,3959514,102000,242.62,41.03
"Size S1, Distance D4",Diesel,384619.98,337407.14,B20,3,5,496273,102000,162.18,60.0
"Size S1, Distance D4",LNG,298013.03,190916.53,LNG,2,5,496273,102000,243.27,40.0
"Size S2, Distance D1",Diesel,1004760.91,840272.18,B20,7,12,1231293,106000,165.94,58.33
"Size S2, Distance D1",LNG,904182.11,476838.36,LNG,5,12,1231293,106000,232.32,41.67
"Size S2, Distance D2",Diesel,1148932.22,1108429.92,B20,8,16,1624238,106000,191.54,50.0
"Size S2, Distance D2",LNG,1417806.13,629012.73,LNG,8,16,1624238,106000,191.54,50.0
"Size S2, Distance D3",Diesel,862640.89,635669.21,B20,6,9,931478,106000,146.46,66.67
"Size S2, Distance D3",LNG,567122.39,360730.09,LNG,3,9,931478,106000,292.92,33.33
"Size S2, Distance D4",LNG,358538.92,60245.09,LNG,2,2,155565,106000,73.38,100.0
"Size S3, Distance D1",Diesel,2969319.41,1720254.56,B20,19,35,2518188,73000,181.56,54.29
"Size S3, Distance D1",LNG,3176016.3,963802.51,LNG,16,35,2518188,73000,215.6,45.71
"Size S3, Distance D2",BEV,631009.02,0.0,Electricity,2,39,2800498,73000,1918.15,5.13
"Size S3, Distance D2",Diesel,3582179.39,1913109.53,B20,23,39,2800498,73000,166.8,58.97
"Size S3, Distance D2",LNG,2788329.88,1071852.86,LNG,14,39,2800498,73000,274.02,35.9
"Size S3, Distance D3",Diesel,1280753.81,831077.1,B20,8,17,1216569,73000,208.32,47.06
"Size S3, Distance D3",LNG,1793481.33,465625.38,LNG,9,17,1216569,73000,185.17,52.94
"Size S3, Distance D4",Diesel,487645.7,164475.62,B20,3,4,240767,73000,109.94,75.0
"Size S3, Distance D4",LNG,233019.38,92150.32,LNG,1,4,240767,73000,329.82,25.0
"Size S4, Distance D1",Diesel,202858.21,12175.47,B20,1,1,18168,118000,15.4,100.0
"Size S4, Distance D2",BEV,642448.45,0.0,Electricity,2,8,919290,118000,389.53,25.0
"Size S4, Distance D2",LNG,1536148.02,352606.94,LNG,6,8,919290,118000,129.84,75.0
"Size S4, Distance D3",Diesel,415616.03,91372.32,B20,2,2,136344,118000,57.77,100.0
"Size S4, Distance D4",Diesel,197866.12,1416.72,B20,1,1,2114,118000,1.79,100.0
