Allocation,Vehicle,Cost ($),carbon_emissions_per_km,Fuel,No_of_vehicles,Max Vehicles,Demand,Yearly Range,Utilization (%),Demand_Fulfillment (%)
"Size S1, Distance D1",Diesel,600292.97,686428.7,B20,5,10,1009629,102000,197.97,50.0
"Size S1, Distance D1",LNG,663362.57,388404.89,LNG,5,10,1009629,102000,197.97,50.0
"Size S1, Distance D2",BEV,575614.06,0.0,Electricity,3,32,3188349,102000,1041.94,9.38
"Size S1, Distance D2",Diesel,1782893.2,2167701.47,B20,16,32,3188349,102000,195.36,50.0
"Size S1, Distance D2",LNG,1682465.5,1226559.8,LNG,13,32,3188349,102000,240.45,40.62
"Size S1, Distance D3",BEV,606189.85,0.0,Electricity,3,39,3892298,102000,1271.99,7.69
"Size S1, Distance D3",Diesel,2107369.62,2646303.81,B20,19,39,3892298,102000,200.84,48.72
"Size S1, Distance D3",LNG,2186279.53,1497369.41,LNG,17,39,3892298,102000,224.47,43.59
"Size S1, Distance D4",Diesel,372655.79,329519.15,B20,3,5,484671,102000,158.39,60.0
"Size S1, Distance D4",LNG,289761.6,186453.23,LNG,2,5,484671,102000,237.58,40.0
"Size S2, Distance D1",Diesel,730936.97,800911.62,B20,5,12,1173616,106000,221.44,41.67
"Size S2, Distance D1",LNG,1203861.91,454501.99,LNG,7,12,1173616,106000,158.17,58.33
"Size S2, Distance D2",Diesel,1115397.93,1097727.36,B20,8,16,1608555,106000,189.69,50.0
"Size S2, Distance D2",LNG,1377281.15,622939.24,LNG,8,16,1608555,106000,189.69,50.0
"Size S2, Distance D3",Diesel,837158.47,625527.61,B20,6,9,916617,106000,144.12,66.67
"Size S2, Distance D3",LNG,551492.04,354974.93,LNG,3,9,916617,106000,288.24,33.33
"Size S2, Distance D4",LNG,347955.3,57440.12,LNG,2,2,148322,106000,69.96,100.0
"Size S3, Distance D1",BEV,642759.65,0.0,Electricity,2,35,2497153,73000,1710.38,5.71
"Size S3, Distance D1",Diesel,2588483.85,1705884.88,B20,17,35,2497153,73000,201.22,48.57
"Size S3, Distance D1",LNG,3084135.44,955751.65,LNG,16,35,2497153,73000,213.8,45.71
"Size S3, Distance D2",BEV,661978.72,0.0,Electricity,2,39,2795108,73000,1914.46,5.13
"Size S3, Distance D2",Diesel,3478102.59,1909427.45,B20,23,39,2795108,73000,166.47,58.97
"Size S3, Distance D2",LNG,2708103.95,1069789.91,LNG,14,39,2795108,73000,273.49,35.9
"Size S3, Distance D3",Diesel,1532304.57,803040.68,B20,10,17,1175528,73000,161.03,58.82
"Size S3, Distance D3",LNG,1364292.15,449917.5,LNG,7,17,1175528,73000,230.04,41.18
"Size S3, Distance D4",Diesel,335501.84,159958.75,B20,2,4,234155,73000,160.38,50.0
"Size S3, Distance D4",LNG,400186.71,89619.67,LNG,2,4,234155,73000,160.38,50.0
"Size S4, Distance D1",Diesel,196806.46,11757.29,B20,1,1,17544,118000,14.87,100.0
"Size S4, Distance D2",Diesel,833290.9,593670.12,B20,4,8,885863,118000,187.68,50.0
"Size S4, Distance D2",LNG,1012784.76,339785.53,LNG,4,8,885863,118000,187.68,50.0
"Size S4, Distance D3",LNG,499938.6,52089.2,LNG,2,2,135803,118000,57.54,100.0
"Size S4, Distance D4",Diesel,192107.99,1416.05,B20,1,1,2113,118000,1.79,100.0
