Allocation,Vehicle,Cost ($),carbon_emissions_per_km,Fuel,No_of_vehicles,Max Vehicles,Demand,Yearly Range,Utilization (%),Demand_Fulfillment (%)
"Size S1, Distance D1",Diesel,786490.41,728095.96,B20,6,11,1070915,102000,174.99,54.55
"Size S1, Distance D1",LNG,743890.88,411981.65,LNG,5,11,1070915,102000,209.98,45.45
"Size S1, Distance D2",BEV,650298.24,0.0,Electricity,4,35,3491886,102000,855.85,11.43
"Size S1, Distance D2",Diesel,1779013.24,2374070.85,B20,14,35,3491886,102000,244.53,40.0
"Size S1, Distance D2",LNG,2452048.57,1343330.67,LNG,17,35,3491886,102000,201.38,48.57
"Size S1, Distance D3",BEV,909667.71,0.0,Electricity,6,43,4290083,102000,700.99,13.95
"Size S1, Distance D3",Diesel,2966126.9,2916750.71,B20,24,43,4290083,102000,175.25,55.81
"Size S1, Distance D3",LNG,1900624.89,1650397.55,LNG,13,43,4290083,102000,323.54,30.23
"Size S1, Distance D4",Diesel,531664.85,382986.44,B20,4,6,563313,102000,138.07,66.67
"Size S1, Distance D4",LNG,326488.22,216706.85,LNG,2,6,563313,102000,276.13,33.33
"Size S2, Distance D1",BEV,472566.21,0.0,Electricity,2,13,1283026,106000,605.2,15.38
"Size S2, Distance D1",Diesel,961041.3,875576.37,B20,6,13,1283026,106000,201.73,46.15
"Size S2, Distance D1",LNG,985455.77,496872.81,LNG,5,13,1283026,106000,242.08,38.46
"Size S2, Distance D2",Diesel,1400470.2,1221765.29,B20,9,17,1790314,106000,187.66,52.94
"Size S2, Distance D2",LNG,1548972.24,693328.38,LNG,8,17,1790314,106000,211.12,47.06
"Size S2, Distance D3",Diesel,1085603.76,687384.49,B20,7,10,1007259,106000,135.75,70.0
"Size S2, Distance D3",LNG,618289.03,390077.52,LNG,3,10,1007259,106000,316.75,30.0
"Size S2, Distance D4",Diesel,324661.34,114744.59,B20,2,2,168141,106000,79.31,100.0
"Size S3, Distance D1",BEV,789418.3,0.0,Electricity,3,39,2820991,73000,1288.12,7.69
"Size S3, Distance D1",Diesel,4080218.51,1927108.95,B20,24,39,2820991,73000,161.02,61.54
"Size S3, Distance D1",LNG,2618136.77,1079696.28,LNG,12,39,2820991,73000,322.03,30.77
"Size S3, Distance D2",BEV,795012.17,0.0,Electricity,3,41,2974170,73000,1358.07,7.32
"Size S3, Distance D2",Diesel,3749465.91,2031750.41,B20,22,41,2974170,73000,185.19,53.66
"Size S3, Distance D2",LNG,3472114.55,1138323.47,LNG,16,41,2974170,73000,254.64,39.02
"Size S3, Distance D3",Diesel,1400448.57,867672.47,B20,8,18,1270139,73000,217.49,44.44
"Size S3, Distance D3",LNG,2171662.99,486128.58,LNG,10,18,1270139,73000,173.99,55.56
"Size S3, Distance D4",Diesel,695563.2,179194.38,B20,4,4,262313,73000,89.83,100.0
"Size S4, Distance D1",Diesel,222102.9,13370.37,B20,1,1,19951,118000,16.91,100.0
"Size S4, Distance D2",Diesel,1348898.75,678988.89,B20,6,9,1013174,118000,143.1,66.67
"Size S4, Distance D2",LNG,876464.55,388617.5,LNG,3,9,1013174,118000,286.21,33.33
"Size S4, Distance D3",LNG,561934.93,56103.97,LNG,2,2,146270,118000,61.98,100.0
"Size S4, Distance D4",Diesel,216235.42,1498.48,B20,1,1,2236,118000,1.89,100.0
