Allocation,Vehicle,Cost ($),carbon_emissions_per_km,Fuel,No_of_vehicles,Max Vehicles,Demand,Yearly Range,Utilization (%),Demand_Fulfillment (%)
"Size S1, Distance D1",Diesel,764017.56,727297.1,B20,6,11,1069740,102000,174.79,54.55
"Size S1, Distance D1",LNG,723297.61,411529.63,LNG,5,11,1069740,102000,209.75,45.45
"Size S1, Distance D2",BEV,652570.6,0.0,Electricity,4,34,3430934,102000,840.92,11.76
"Size S1, Distance D2",Diesel,1951502.62,2332630.67,B20,16,34,3430934,102000,210.23,47.06
"Size S1, Distance D2",LNG,1972669.07,1319882.4,LNG,14,34,3430934,102000,240.26,41.18
"Size S1, Distance D3",BEV,789804.37,0.0,Electricity,5,42,4237026,102000,830.79,11.9
"Size S1, Distance D3",Diesel,2535130.3,2880678.21,B20,21,42,4237026,102000,197.81,50.0
"Size S1, Distance D3",LNG,2252212.63,1629986.49,LNG,16,42,4237026,102000,259.62,38.1
"Size S1, Distance D4",Diesel,514895.77,369122.28,B20,4,6,542921,102000,133.07,66.67
"Size S1, Distance D4",LNG,316920.89,208862.04,LNG,2,6,542921,102000,266.14,33.33
"Size S2, Distance D1",Diesel,932264.56,858422.79,B20,6,12,1257890,106000,197.78,50.0
"Size S2, Distance D1",LNG,1135014.92,487138.48,LNG,6,12,1257890,106000,197.78,50.0
"Size S2, Distance D2",Diesel,1359094.78,1200542.38,B20,9,17,1759215,106000,184.4,52.94
"Size S2, Distance D2",LNG,1504439.72,681284.79,LNG,8,17,1759215,106000,207.45,47.06
"Size S2, Distance D3",Diesel,1053120.7,669075.56,B20,7,10,980430,106000,132.13,70.0
"Size S2, Distance D3",LNG,600690.37,379687.56,LNG,3,10,980430,106000,308.31,30.0
"Size S2, Distance D4",Diesel,314612.34,111322.2,B20,2,2,163126,106000,76.95,100.0
"Size S3, Distance D1",Diesel,3152709.11,1850012.05,B20,19,38,2708133,73000,195.25,50.0
"Size S3, Distance D1",LNG,3992624.68,1036501.4,LNG,19,38,2708133,73000,195.25,50.0
"Size S3, Distance D2",Diesel,3316376.12,1956267.07,B20,20,40,2863674,73000,196.14,50.0
"Size S3, Distance D2",LNG,4201750.65,1096032.62,LNG,20,40,2863674,73000,196.14,50.0
"Size S3, Distance D3",Diesel,1675985.51,856825.7,B20,10,18,1254261,73000,171.82,55.56
"Size S3, Distance D3",LNG,1695401.11,480051.49,LNG,8,18,1254261,73000,214.77,44.44
"Size S3, Distance D4",LNG,845370.56,95867.46,LNG,4,4,250479,73000,85.78,100.0
"Size S4, Distance D1",Diesel,215477.28,12932.75,B20,1,1,19298,118000,16.35,100.0
"Size S4, Distance D2",Diesel,915315.87,648353.85,B20,4,9,967461,118000,204.97,44.44
"Size S4, Distance D2",LNG,1366441.34,371083.62,LNG,5,9,967461,118000,163.98,55.56
"Size S4, Distance D3",Diesel,441365.05,94754.62,B20,2,2,141391,118000,59.91,100.0
"Size S4, Distance D4",Diesel,209941.79,1494.46,B20,1,1,2230,118000,1.89,100.0
