Allocation,Vehicle,Cost ($),carbon_emissions_per_km,Fuel,No_of_vehicles,Max Vehicles,Demand,Yearly Range,Utilization (%),Demand_Fulfillment (%)
"Size S1, Distance D1",Diesel,925984.73,734407.3,B20,7,11,1080198,102000,151.29,63.64
"Size S1, Distance D1",LNG,626546.43,415552.83,LNG,4,11,1080198,102000,264.75,36.36
"Size S1, Distance D2",BEV,768750.68,0.0,Electricity,5,36,3606840,102000,707.22,13.89
"Size S1, Distance D2",Diesel,2434796.28,2452226.02,B20,19,36,3606840,102000,186.11,52.78
"Size S1, Distance D2",LNG,1804852.71,1387553.55,LNG,12,36,3606840,102000,294.68,33.33
"Size S1, Distance D3",BEV,787190.11,0.0,Electricity,5,44,4474763,102000,877.4,11.36
"Size S1, Distance D3",Diesel,2813606.79,3042311.34,B20,22,44,4474763,102000,199.41,50.0
"Size S1, Distance D3",LNG,2533013.26,1721444.05,LNG,17,44,4474763,102000,258.06,38.64
"Size S1, Distance D4",Diesel,548242.11,391234.76,B20,4,6,575445,102000,141.04,66.67
"Size S1, Distance D4",LNG,335683.39,221374.04,LNG,2,6,575445,102000,282.08,33.33
"Size S2, Distance D1",BEV,472998.08,0.0,Electricity,2,13,1344795,106000,634.34,15.38
"Size S2, Distance D1",Diesel,992788.05,917729.43,B20,6,13,1344795,106000,211.45,46.15
"Size S2, Distance D1",LNG,1015482.03,520793.86,LNG,5,13,1344795,106000,253.73,38.46
"Size S2, Distance D2",Diesel,1737112.41,1275759.89,B20,11,18,1869435,106000,160.33,61.11
"Size S2, Distance D2",LNG,1405500.15,723969.28,LNG,7,18,1869435,106000,251.95,38.89
"Size S2, Distance D3",Diesel,975516.23,712414.01,B20,6,10,1043936,106000,164.14,60.0
"Size S2, Distance D3",LNG,819154.62,404281.29,LNG,4,10,1043936,106000,246.21,40.0
"Size S2, Distance D4",Diesel,334382.52,115652.9,B20,2,2,169472,106000,79.94,100.0
"Size S3, Distance D1",Diesel,3688037.45,1934734.07,B20,21,39,2832153,73000,184.75,53.85
"Size S3, Distance D1",LNG,4014662.49,1083968.38,LNG,18,39,2832153,73000,215.54,46.15
"Size S3, Distance D2",BEV,996623.05,0.0,Electricity,4,43,3096840,73000,1060.56,9.3
"Size S3, Distance D2",Diesel,3863478.6,2115550.2,B20,22,43,3096840,73000,192.83,51.16
"Size S3, Distance D2",LNG,3796526.8,1185273.76,LNG,17,43,3096840,73000,249.54,39.53
"Size S3, Distance D3",Diesel,1948871.61,902258.76,B20,11,19,1320768,73000,164.48,57.89
"Size S3, Distance D3",LNG,1798189.9,505506.15,LNG,8,19,1320768,73000,226.16,42.11
"Size S3, Distance D4",Diesel,551602.63,186531.22,B20,3,4,273053,73000,124.68,75.0
"Size S3, Distance D4",LNG,261629.6,104507.35,LNG,1,4,273053,73000,374.05,25.0
"Size S4, Distance D1",Diesel,228997.87,13944.02,B20,1,1,20807,118000,17.63,100.0
"Size S4, Distance D2",Diesel,1391355.6,708448.46,B20,6,9,1057133,118000,149.31,66.67
"Size S4, Distance D2",LNG,903122.27,405478.61,LNG,3,9,1057133,118000,298.63,33.33
"Size S4, Distance D3",Diesel,468668.57,98066.55,B20,2,2,146333,118000,62.01,100.0
"Size S4, Distance D4",Diesel,222730.99,1527.97,B20,1,1,2280,118000,1.93,100.0
