Allocation,Size,Distance,Vehicle,Cost ($),carbon_emissions_per_km,Fuel,No_of_vehicles,Max Vehicles,Demand,Yearly Range,Utilization (%),Demand_Fulfillment (%)
Diesel_S1_2029,S1,D1,Diesel,600292.97,686428.7,B20,5,10,1009629,102000,197.97,50.0
LNG_S1_2029,S1,D1,LNG,663362.57,388404.89,LNG,5,10,1009629,102000,197.97,50.0
BEV_S1_2029,S1,D2,BEV,686702.55,0.0,Electricity,4,32,3188349,102000,781.46,12.5
Diesel_S1_2029,S1,D2,Diesel,1373076.95,2167701.47,B20,12,32,3188349,102000,260.49,37.5
LNG_S1_2029,S1,D2,LNG,2055223.79,1226559.8,LNG,16,32,3188349,102000,195.36,50.0
BEV_S1_2029,S1,D3,BEV,709634.4,0.0,Electricity,4,39,3892298,102000,953.99,10.26
Diesel_S1_2029,S1,D3,Diesel,2107369.62,2646303.81,B20,19,39,3892298,102000,200.84,48.72
LNG_S1_2029,S1,D3,LNG,2061872.82,1497369.41,LNG,16,39,3892298,102000,238.5,41.03
Diesel_S1_2029,S1,D4,Diesel,372655.79,329519.15,B20,3,5,484671,102000,158.39,60.0
LNG_S1_2029,S1,D4,LNG,289761.6,186453.23,LNG,2,5,484671,102000,237.58,40.0
Diesel_S2_2029,S2,D1,Diesel,1098540.92,800911.62,B20,8,12,1173616,106000,138.4,66.67
LNG_S2_2029,S2,D1,LNG,717982.38,454501.99,LNG,4,12,1173616,106000,276.8,33.33
Diesel_S2_2029,S2,D2,Diesel,992672.22,1097727.36,B20,7,16,1608555,106000,216.79,43.75
LNG_S2_2029,S2,D2,LNG,1542218.82,622939.24,LNG,9,16,1608555,106000,168.61,56.25
Diesel_S2_2029,S2,D3,Diesel,837158.47,625527.61,B20,6,9,916617,106000,144.12,66.67
LNG_S2_2029,S2,D3,LNG,551492.04,354974.93,LNG,3,9,916617,106000,288.24,33.33
LNG_S2_2029,S2,D4,LNG,347955.3,57440.12,LNG,2,2,148322,106000,69.96,100.0
BEV_S3_2029,S3,D1,BEV,642759.65,0.0,Electricity,2,35,2497153,73000,1710.38,5.71
Diesel_S3_2029,S3,D1,Diesel,2882848.54,1705884.88,B20,19,35,2497153,73000,180.04,54.29
LNG_S3_2029,S3,D1,LNG,2704904.04,955751.65,LNG,14,35,2497153,73000,244.34,40.0
BEV_S3_2029,S3,D2,BEV,661978.72,0.0,Electricity,2,39,2795108,73000,1914.46,5.13
Diesel_S3_2029,S3,D2,Diesel,3330235.18,1909427.45,B20,22,39,2795108,73000,174.04,56.41
LNG_S3_2029,S3,D2,LNG,2897394.57,1069789.91,LNG,15,39,2795108,73000,255.26,38.46
Diesel_S3_2029,S3,D3,Diesel,1386776.62,803040.68,B20,9,17,1175528,73000,178.92,52.94
LNG_S3_2029,S3,D3,LNG,1552427.83,449917.5,LNG,8,17,1175528,73000,201.29,47.06
Diesel_S3_2029,S3,D4,Diesel,335501.84,159958.75,B20,2,4,234155,73000,160.38,50.0
LNG_S3_2029,S3,D4,LNG,400186.71,89619.67,LNG,2,4,234155,73000,160.38,50.0
Diesel_S4_2029,S4,D1,Diesel,196806.46,11757.29,B20,1,1,17544,118000,14.87,100.0
Diesel_S4_2029,S4,D2,Diesel,1011269.03,593670.12,B20,5,8,885863,118000,150.15,62.5
LNG_S4_2029,S4,D2,LNG,779054.53,339785.53,LNG,3,8,885863,118000,250.24,37.5
LNG_S4_2029,S4,D3,LNG,499938.6,52089.2,LNG,2,2,135803,118000,57.54,100.0
Diesel_S4_2029,S4,D4,Diesel,192107.99,1416.05,B20,1,1,2113,118000,1.79,100.0
