Allocation,Size,Distance,Vehicle,Cost ($),carbon_emissions_per_km,Fuel,No_of_vehicles,Max Vehicles,Demand,Yearly Range,Utilization (%),Demand_Fulfillment (%)
Diesel_S1_2027,S1,D1,Diesel,748909.11,627533.91,B20,7,10,923004,102000,129.27,70.0
LNG_S1_2027,S1,D1,LNG,407151.64,371671.34,LNG,3,10,923004,102000,301.64,30.0
BEV_S1_2027,S1,D2,BEV,626843.42,0.0,Electricity,3,30,3023153,102000,987.96,10.0
Diesel_S1_2027,S1,D2,Diesel,1103618.11,2055387.66,B20,10,30,3023153,102000,296.39,33.33
LNG_S1_2027,S1,D2,LNG,2056613.31,1217350.44,LNG,17,30,3023153,102000,174.35,56.67
Diesel_S1_2027,S1,D3,Diesel,1884278.41,2435120.86,B20,18,36,3581681,102000,195.08,50.0
LNG_S1_2027,S1,D3,LNG,2179301.36,1442256.13,LNG,18,36,3581681,102000,195.08,50.0
Diesel_S1_2027,S1,D4,Diesel,350345.52,317623.25,B20,3,5,467174,102000,152.67,60.0
LNG_S1_2027,S1,D4,LNG,275991.88,188119.65,LNG,2,5,467174,102000,229.01,40.0
Diesel_S2_2027,S2,D1,Diesel,915876.82,760880.92,B20,7,11,1114957,106000,150.26,63.64
LNG_S2_2027,S2,D1,LNG,679443.81,450346.61,LNG,4,11,1114957,106000,262.96,36.36
Diesel_S2_2027,S2,D2,Diesel,1047601.02,1010050.03,B20,8,14,1480077,106000,174.54,57.14
LNG_S2_2027,S2,D2,LNG,991643.87,597823.65,LNG,6,14,1480077,106000,232.72,42.86
Diesel_S2_2027,S2,D3,Diesel,560428.03,588836.04,B20,4,9,862851,106000,203.5,44.44
LNG_S2_2027,S2,D3,LNG,821072.6,348517.5,LNG,5,9,862851,106000,162.8,55.56
LNG_S2_2027,S2,D4,LNG,329102.67,59152.38,LNG,2,2,146448,106000,69.08,100.0
Diesel_S3_2027,S3,D1,Diesel,2438598.51,1626789.14,B20,17,33,2381369,73000,191.89,51.52
LNG_S3_2027,S3,D1,LNG,2908673.27,953733.19,LNG,16,33,2381369,73000,203.88,48.48
Diesel_S3_2027,S3,D2,Diesel,2442278.04,1770381.41,B20,17,36,2591566,73000,208.83,47.22
LNG_S3_2027,S3,D2,LNG,3447627.33,1037916.64,LNG,19,36,2591566,73000,186.85,52.78
Diesel_S3_2027,S3,D3,Diesel,1170271.74,777058.44,B20,8,16,1137494,73000,194.78,50.0
LNG_S3_2027,S3,D3,LNG,1465124.48,455563.91,LNG,8,16,1137494,73000,194.78,50.0
Diesel_S3_2027,S3,D4,Diesel,315458.91,153661.64,B20,2,4,224937,73000,154.07,50.0
LNG_S3_2027,S3,D4,LNG,378525.96,90086.79,LNG,2,4,224937,73000,154.07,50.0
Diesel_S4_2027,S4,D1,Diesel,185299.78,11079.09,B20,1,1,16532,118000,14.01,100.0
Diesel_S4_2027,S4,D2,Diesel,782423.16,555795.35,B20,4,8,829347,118000,175.71,50.0
LNG_S4_2027,S4,D2,LNG,956470.7,334904.35,LNG,4,8,829347,118000,175.71,50.0
LNG_S4_2027,S4,D3,LNG,472010.03,52401.3,LNG,2,2,129765,118000,54.99,100.0
Diesel_S4_2027,S4,D4,Diesel,181062.9,1353.05,B20,1,1,2019,118000,1.71,100.0
