Allocation,Size,Distance,Vehicle,Cost ($),carbon_emissions_per_km,Fuel,No_of_vehicles,Max Vehicles,Demand,Yearly Range,Utilization (%),Demand_Fulfillment (%)
Diesel_S1_2026,S1,D1,Diesel,633455.24,601080.38,B20,6,9,884095,102000,144.46,66.67
LNG_S1_2026,S1,D1,LNG,395724.55,361973.47,LNG,3,9,884095,102000,288.92,33.33
BEV_S1_2026,S1,D2,BEV,1578515.5,0.0,Electricity,9,29,2909150,102000,316.9,31.03
LNG_S1_2026,S1,D2,LNG,2340376.55,1191088.21,LNG,20,29,2909150,102000,142.61,68.97
Diesel_S1_2026,S1,D3,Diesel,1639371.65,2404763.45,B20,16,35,3537030,102000,216.73,45.71
LNG_S1_2026,S1,D3,LNG,2231210.79,1448160.02,LNG,19,35,3537030,102000,182.51,54.29
Diesel_S1_2026,S1,D4,Diesel,338521.95,303552.41,B20,3,5,446478,102000,145.91,60.0
LNG_S1_2026,S1,D4,LNG,268198.95,182800.71,LNG,2,5,446478,102000,218.86,40.0
Diesel_S2_2026,S2,D1,Diesel,775685.42,744329.24,B20,6,11,1090703,106000,171.49,54.55
LNG_S2_2026,S2,D1,LNG,805658.58,442703.17,LNG,5,11,1090703,106000,205.79,45.45
Diesel_S2_2026,S2,D2,Diesel,903640.4,991355.52,B20,7,14,1452683,106000,195.78,50.0
LNG_S2_2026,S2,D2,LNG,1112039.95,589626.48,LNG,7,14,1452683,106000,195.78,50.0
Diesel_S2_2026,S2,D3,Diesel,650392.86,563646.15,B20,5,8,825939,106000,155.84,62.5
LNG_S2_2026,S2,D3,LNG,506832.45,335238.66,LNG,3,8,825939,106000,259.73,37.5
LNG_S2_2026,S2,D4,LNG,319554.68,57282.15,LNG,2,2,141128,106000,66.57,100.0
BEV_S3_2026,S3,D1,BEV,635871.92,0.0,Electricity,1,32,2329773,73000,3191.47,3.12
Diesel_S3_2026,S3,D1,Diesel,2906983.86,1591542.26,B20,21,32,2329773,73000,151.97,65.62
LNG_S3_2026,S3,D1,LNG,1788579.57,950202.6,LNG,10,32,2329773,73000,319.15,31.25
BEV_S3_2026,S3,D2,BEV,665600.51,0.0,Electricity,1,35,2524893,73000,3458.76,2.86
Diesel_S3_2026,S3,D2,Diesel,2236197.71,1724834.96,B20,16,35,2524893,73000,216.17,45.71
LNG_S3_2026,S3,D2,LNG,3173934.9,1029782.69,LNG,18,35,2524893,73000,192.15,51.43
Diesel_S3_2026,S3,D3,Diesel,1135316.6,754127.75,B20,8,16,1103927,73000,189.03,50.0
LNG_S3_2026,S3,D3,LNG,1422972.96,450238.85,LNG,8,16,1103927,73000,189.03,50.0
Diesel_S3_2026,S3,D4,Diesel,431954.38,149729.53,B20,3,4,219181,73000,100.08,75.0
LNG_S3_2026,S3,D4,LNG,210798.93,89393.41,LNG,1,4,219181,73000,300.25,25.0
Diesel_S4_2026,S4,D1,Diesel,179766.67,10666.27,B20,1,1,15916,118000,13.49,100.0
Diesel_S4_2026,S4,D2,Diesel,757641.43,532395.36,B20,4,7,794430,118000,168.31,57.14
LNG_S4_2026,S4,D2,LNG,715532.65,324930.27,LNG,3,7,794430,118000,224.42,42.86
LNG_S4_2026,S4,D3,LNG,458513.66,51827.78,LNG,2,2,126715,118000,53.69,100.0
Diesel_S4_2026,S4,D4,Diesel,175785.51,1332.95,B20,1,1,1989,118000,1.69,100.0
