Allocation,Size,Distance,Vehicle,Cost ($),carbon_emissions_per_km,Fuel,No_of_vehicles,Max Vehicles,Demand,Yearly Range,Utilization (%),Demand_Fulfillment (%)
Diesel_S1_2031,S1,D1,Diesel,846918.19,708607.82,B20,7,11,1042251,102000,145.97,63.64
LNG_S1_2031,S1,D1,LNG,576029.29,400954.6,LNG,4,11,1042251,102000,255.45,36.36
BEV_S1_2031,S1,D2,BEV,1157088.47,0.0,Electricity,8,33,3310718,102000,405.73,24.24
Diesel_S1_2031,S1,D2,Diesel,1565810.16,2250897.96,B20,13,33,3310718,102000,249.68,39.39
LNG_S1_2031,S1,D2,LNG,1652540.07,1273635.23,LNG,12,33,3310718,102000,270.48,36.36
BEV_S1_2031,S1,D3,BEV,911828.96,0.0,Electricity,6,40,4061449,102000,663.64,15.0
Diesel_S1_2031,S1,D3,Diesel,2127133.43,2761306.55,B20,18,40,4061449,102000,221.21,45.0
LNG_S1_2031,S1,D3,LNG,2186356.68,1562441.91,LNG,16,40,4061449,102000,248.86,40.0
Diesel_S1_2031,S1,D4,Diesel,498316.17,352621.54,B20,4,6,518651,102000,127.12,66.67
LNG_S1_2031,S1,D4,LNG,307289.25,199525.36,LNG,2,6,518651,102000,254.24,33.33
Diesel_S2_2031,S2,D1,Diesel,1167329.78,846488.44,B20,8,12,1240402,106000,146.27,66.67
LNG_S2_2031,S2,D1,LNG,760982.11,480365.96,LNG,4,12,1240402,106000,292.55,33.33
Diesel_S2_2031,S2,D2,Diesel,1317533.07,1152759.26,B20,9,16,1689196,106000,177.06,56.25
LNG_S2_2031,S2,D2,LNG,1286405.68,654168.78,LNG,7,16,1689196,106000,227.65,43.75
BEV_S2_2031,S2,D3,BEV,458448.07,0.0,Electricity,2,9,943472,106000,445.03,22.22
LNG_S2_2031,S2,D3,LNG,1270387.46,365374.97,LNG,7,9,943472,106000,127.15,77.78
LNG_S2_2031,S2,D4,LNG,369355.08,62728.24,LNG,2,2,161977,106000,76.4,100.0
BEV_S3_2031,S3,D1,BEV,613288.17,0.0,Electricity,2,36,2619164,73000,1793.95,5.56
Diesel_S3_2031,S3,D1,Diesel,2903551.29,1789234.49,B20,18,36,2619164,73000,199.33,50.0
LNG_S3_2031,S3,D1,LNG,3271402.59,1002449.71,LNG,16,36,2619164,73000,224.24,44.44
BEV_S3_2031,S3,D2,BEV,624879.35,0.0,Electricity,2,39,2814164,73000,1927.51,5.13
Diesel_S3_2031,S3,D2,Diesel,2907058.21,1922445.21,B20,18,39,2814164,73000,214.17,46.15
LNG_S3_2031,S3,D2,LNG,3877913.7,1077083.33,LNG,19,39,2814164,73000,202.9,48.72
Diesel_S3_2031,S3,D3,Diesel,1472614.19,843085.87,B20,9,17,1234148,73000,187.85,52.94
LNG_S3_2031,S3,D3,LNG,1646462.99,472353.51,LNG,8,17,1234148,73000,211.33,47.06
Diesel_S3_2031,S3,D4,Diesel,356684.26,165873.31,B20,2,4,242813,73000,166.31,50.0
LNG_S3_2031,S3,D4,LNG,423925.83,92933.4,LNG,2,4,242813,73000,166.31,50.0
Diesel_S4_2031,S4,D1,Diesel,209078.08,12563.49,B20,1,1,18747,118000,15.89,100.0
Diesel_S4_2031,S4,D2,Diesel,887282.73,631264.1,B20,4,8,941960,118000,199.57,50.0
LNG_S4_2031,S4,D2,LNG,1074132.83,361302.34,LNG,4,8,941960,118000,199.57,50.0
LNG_S4_2031,S4,D3,LNG,529933.44,53582.42,LNG,2,2,139696,118000,59.19,100.0
Diesel_S4_2031,S4,D4,Diesel,203822.64,1473.01,B20,1,1,2198,118000,1.86,100.0
