Allocation,Size,Distance,Vehicle,Cost ($),carbon_emissions_per_km,Fuel,No_of_vehicles,Max Vehicles,Demand,Yearly Range,Utilization (%),Demand_Fulfillment (%)
BEV_S1_2032,S1,D1,BEV,851098.01,0.0,Electricity,6,11,1069740,102000,174.79,54.55
LNG_S1_2032,S1,D1,LNG,723297.61,411529.63,LNG,5,11,1069740,102000,209.75,45.45
BEV_S1_2032,S1,D2,BEV,1156831.34,0.0,Electricity,8,34,3430934,102000,420.46,23.53
Diesel_S1_2032,S1,D2,Diesel,1838646.91,2332630.67,B20,15,34,3430934,102000,224.24,44.12
LNG_S1_2032,S1,D2,LNG,1567676.86,1319882.4,LNG,11,34,3430934,102000,305.79,32.35
BEV_S1_2032,S1,D3,BEV,1300087.21,0.0,Electricity,9,42,4237026,102000,461.55,21.43
Diesel_S1_2032,S1,D3,Diesel,2080513.1,2880678.21,B20,17,42,4237026,102000,244.35,40.48
LNG_S1_2032,S1,D3,LNG,2252212.63,1629986.49,LNG,16,42,4237026,102000,259.62,38.1
BEV_S1_2032,S1,D4,BEV,569343.35,0.0,Electricity,4,6,542921,102000,133.07,66.67
LNG_S1_2032,S1,D4,LNG,316920.89,208862.04,LNG,2,6,542921,102000,266.14,33.33
Diesel_S2_2032,S2,D1,Diesel,1066211.18,858422.79,B20,7,12,1257890,106000,169.53,58.33
LNG_S2_2032,S2,D1,LNG,957336.61,487138.48,LNG,5,12,1257890,106000,237.34,41.67
BEV_S2_2032,S2,D2,BEV,502497.36,0.0,Electricity,2,17,1759215,106000,829.82,11.76
Diesel_S2_2032,S2,D2,Diesel,1089863.53,1200542.38,B20,7,17,1759215,106000,237.09,41.18
LNG_S2_2032,S2,D2,LNG,1504439.72,681284.79,LNG,8,17,1759215,106000,207.45,47.06
Diesel_S2_2032,S2,D3,Diesel,656299.71,669075.56,B20,4,10,980430,106000,231.23,40.0
LNG_S2_2032,S2,D3,LNG,1128102.36,379687.56,LNG,6,10,980430,106000,154.16,60.0
LNG_S2_2032,S2,D4,LNG,380084.29,63173.21,LNG,2,2,163126,106000,76.95,100.0
BEV_S3_2032,S3,D1,BEV,612132.47,0.0,Electricity,2,38,2708133,73000,1854.89,5.26
Diesel_S3_2032,S3,D1,Diesel,3152709.11,1850012.05,B20,19,38,2708133,73000,195.25,50.0
LNG_S3_2032,S3,D1,LNG,3577042.21,1036501.4,LNG,17,38,2708133,73000,218.22,44.74
BEV_S3_2032,S3,D2,BEV,621008.01,0.0,Electricity,2,40,2863674,73000,1961.42,5.0
Diesel_S3_2032,S3,D2,Diesel,3638976.84,1956267.07,B20,22,40,2863674,73000,178.31,55.0
LNG_S3_2032,S3,D2,LNG,3370919.39,1096032.62,LNG,16,40,2863674,73000,245.18,40.0
Diesel_S3_2032,S3,D3,Diesel,1517140.79,856825.7,B20,9,18,1254261,73000,190.91,50.0
LNG_S3_2032,S3,D3,LNG,1901857.42,480051.49,LNG,9,18,1254261,73000,190.91,50.0
Diesel_S3_2032,S3,D4,Diesel,674509.91,171110.2,B20,4,4,250479,73000,85.78,100.0
Diesel_S4_2032,S4,D1,Diesel,215477.28,12932.75,B20,1,1,19298,118000,16.35,100.0
Diesel_S4_2032,S4,D2,Diesel,915315.87,648353.85,B20,4,9,967461,118000,204.97,44.44
LNG_S4_2032,S4,D2,LNG,1366441.34,371083.62,LNG,5,9,967461,118000,163.98,55.56
LNG_S4_2032,S4,D3,LNG,545584.37,54232.56,LNG,2,2,141391,118000,59.91,100.0
Diesel_S4_2032,S4,D4,Diesel,209941.79,1494.46,B20,1,1,2230,118000,1.89,100.0
