Allocation,Size,Distance,Vehicle,Cost ($),carbon_emissions_per_km,Fuel,No_of_vehicles,Max Vehicles,Demand,Yearly Range,Utilization (%),Demand_Fulfillment (%)
BEV_S1_2036,S1,D1,BEV,714513.38,0.0,Electricity,5,12,1143702,102000,224.26,41.67
Diesel_S1_2036,S1,D1,Diesel,533391.6,777582.54,B20,3,12,1143702,102000,373.76,25.0
LNG_S1_2036,S1,D1,LNG,664130.74,439982.86,LNG,4,12,1143702,102000,280.32,33.33
BEV_S1_2036,S1,D2,BEV,2375218.54,0.0,Electricity,17,38,3821393,102000,220.38,44.74
Diesel_S1_2036,S1,D2,Diesel,935116.74,2598096.76,B20,5,38,3821393,102000,749.29,13.16
LNG_S1_2036,S1,D2,LNG,2525270.64,1470092.22,LNG,16,38,3821393,102000,234.15,42.11
BEV_S1_2036,S1,D3,BEV,1970099.55,0.0,Electricity,14,46,4599217,102000,322.07,30.43
Diesel_S1_2036,S1,D3,Diesel,2094458.4,3126925.39,B20,15,46,4599217,102000,300.6,32.61
LNG_S1_2036,S1,D3,LNG,2685533.7,1769321.58,LNG,17,46,4599217,102000,265.24,36.96
Diesel_S1_2036,S1,D4,Diesel,583173.55,409667.73,B20,4,6,602557,102000,147.69,66.67
LNG_S1_2036,S1,D4,LNG,355029.36,231804.05,LNG,2,6,602557,102000,295.37,33.33
Diesel_S2_2036,S2,D1,Diesel,1668796.76,947711.35,B20,10,14,1388729,106000,131.01,71.43
LNG_S2_2036,S2,D1,LNG,878826.65,537808.02,LNG,4,14,1388729,106000,327.53,28.57
BEV_S2_2036,S2,D2,BEV,667703.63,0.0,Electricity,3,19,1982301,106000,623.37,15.79
Diesel_S2_2036,S2,D2,Diesel,1234969.81,1352783.12,B20,7,19,1982301,106000,267.16,36.84
LNG_S2_2036,S2,D2,LNG,1895457.13,767678.49,LNG,9,19,1982301,106000,207.79,47.37
Diesel_S2_2036,S2,D3,Diesel,1189852.52,752855.53,B20,7,11,1103197,106000,148.68,63.64
LNG_S2_2036,S2,D3,LNG,868403.36,427231.08,LNG,4,11,1103197,106000,260.19,36.36
LNG_S2_2036,S2,D4,LNG,427217.63,69762.16,LNG,2,2,180140,106000,84.97,100.0
BEV_S3_2036,S3,D1,BEV,1201826.85,0.0,Electricity,5,41,2983351,73000,817.36,12.2
Diesel_S3_2036,S3,D1,Diesel,4096023.24,2038022.25,B20,22,41,2983351,73000,185.76,53.66
LNG_S3_2036,S3,D1,LNG,3324460.55,1141837.38,LNG,14,41,2983351,73000,291.91,34.15
BEV_S3_2036,S3,D2,BEV,1870012.57,0.0,Electricity,8,45,3269872,73000,559.91,17.78
Diesel_S3_2036,S3,D2,Diesel,4282349.07,2233753.88,B20,23,45,3269872,73000,194.75,51.11
LNG_S3_2036,S3,D2,LNG,3327413.99,1251499.43,LNG,14,45,3269872,73000,319.95,31.11
Diesel_S3_2036,S3,D3,Diesel,2248870.61,940895.33,B20,12,19,1377326,73000,157.23,63.16
LNG_S3_2036,S3,D3,LNG,1675248.97,527152.96,LNG,7,19,1377326,73000,269.54,36.84
BEV_S3_2036,S3,D4,BEV,471212.47,0.0,Electricity,2,4,280914,73000,192.41,50.0
LNG_S3_2036,S3,D4,LNG,490799.29,107516.05,LNG,2,4,280914,73000,192.41,50.0
BEV_S4_2036,S4,D1,BEV,295060.23,0.0,Electricity,1,1,22740,118000,19.27,100.0
Diesel_S4_2036,S4,D2,Diesel,1257420.12,760121.16,B20,5,10,1134238,118000,192.24,50.0
LNG_S4_2036,S4,D2,LNG,1538505.68,435053.34,LNG,5,10,1134238,118000,192.24,50.0
Diesel_S4_2036,S4,D3,Diesel,497607.68,101254.5,B20,2,2,151090,118000,64.02,100.0
BEV_S4_2036,S4,D4,BEV,293097.15,0.0,Electricity,1,1,2412,118000,2.04,100.0
