Allocation,Size,Distance,Vehicle,Cost ($),carbon_emissions_per_km,Fuel,No_of_vehicles,Max Vehicles,Demand,Yearly Range,Utilization (%),Demand_Fulfillment (%)
BEV_S1_2034,S1,D1,BEV,453521.86,0.0,Electricity,3,11,1080198,102000,353.01,27.27
Diesel_S1_2034,S1,D1,Diesel,497717.18,734407.3,B20,3,11,1080198,102000,353.01,27.27
LNG_S1_2034,S1,D1,LNG,765348.23,415552.83,LNG,5,11,1080198,102000,211.8,45.45
BEV_S1_2034,S1,D2,BEV,1288390.72,0.0,Electricity,9,36,3606840,102000,392.9,25.0
Diesel_S1_2034,S1,D2,Diesel,954600.63,2452226.02,B20,6,36,3606840,102000,589.35,16.67
LNG_S1_2034,S1,D2,LNG,3106502.92,1387553.55,LNG,21,36,3606840,102000,168.39,58.33
BEV_S1_2034,S1,D4,BEV,435649.01,0.0,Electricity,3,6,575445,102000,188.05,50.0
LNG_S1_2034,S1,D4,LNG,468336.23,221374.04,LNG,3,6,575445,102000,188.05,50.0
Diesel_S2_2034,S2,D1,Diesel,1278682.63,917729.43,B20,8,13,1344795,106000,158.58,61.54
LNG_S2_2034,S2,D1,LNG,1015482.03,520793.86,LNG,5,13,1344795,106000,253.73,38.46
Diesel_S2_2034,S2,D2,Diesel,1737112.41,1275759.89,B20,11,18,1869435,106000,160.33,61.11
LNG_S2_2034,S2,D2,LNG,1405500.15,723969.28,LNG,7,18,1869435,106000,251.95,38.89
Diesel_S2_2034,S2,D3,Diesel,975516.23,712414.01,B20,6,10,1043936,106000,164.14,60.0
LNG_S2_2034,S2,D3,LNG,819154.62,404281.29,LNG,4,10,1043936,106000,246.21,40.0
LNG_S2_2034,S2,D4,LNG,402817.3,65630.8,LNG,2,2,169472,106000,79.94,100.0
BEV_S3_2034,S3,D1,BEV,785685.21,0.0,Electricity,3,39,2832153,73000,1293.22,7.69
Diesel_S3_2034,S3,D1,Diesel,3516956.08,1934734.07,B20,20,39,2832153,73000,193.98,51.28
LNG_S3_2034,S3,D1,LNG,3574013.27,1083968.38,LNG,16,39,2832153,73000,242.48,41.03
BEV_S3_2034,S3,D2,BEV,794964.21,0.0,Electricity,3,43,3096840,73000,1414.08,6.98
Diesel_S3_2034,S3,D2,Diesel,4034774.78,2115550.2,B20,23,43,3096840,73000,184.45,53.49
LNG_S3_2034,S3,D2,LNG,3796526.8,1185273.76,LNG,17,43,3096840,73000,249.54,39.53
Diesel_S3_2034,S3,D3,Diesel,2289315.21,902258.76,B20,13,19,1320768,73000,139.17,68.42
LNG_S3_2034,S3,D3,LNG,1362704.29,505506.15,LNG,6,19,1320768,73000,301.55,31.58
Diesel_S3_2034,S3,D4,Diesel,393887.79,186531.22,B20,2,4,273053,73000,187.02,50.0
LNG_S3_2034,S3,D4,LNG,463455.52,104507.35,LNG,2,4,273053,73000,187.02,50.0
Diesel_S4_2034,S4,D1,Diesel,228997.87,13944.02,B20,1,1,20807,118000,17.63,100.0
Diesel_S4_2034,S4,D2,Diesel,1391355.6,708448.46,B20,6,9,1057133,118000,149.31,66.67
LNG_S4_2034,S4,D2,LNG,903122.27,405478.61,LNG,3,9,1057133,118000,298.63,33.33
LNG_S4_2034,S4,D3,LNG,578412.64,56128.13,LNG,2,2,146333,118000,62.01,100.0
Diesel_S4_2034,S4,D4,Diesel,222730.99,1527.97,B20,1,1,2280,118000,1.93,100.0
