Allocation,Size,Distance,Vehicle,Cost ($),carbon_emissions_per_km,Fuel,No_of_vehicles,Max Vehicles,Demand,Yearly Range,Utilization (%),Demand_Fulfillment (%)
BEV_S1_2037,S1,D1,BEV,714604.87,0.0,Electricity,5,12,1196265,102000,234.56,41.67
Diesel_S1_2037,S1,D1,Diesel,654451.79,813319.18,B20,4,12,1196265,102000,293.2,33.33
LNG_S1_2037,S1,D1,LNG,538502.65,460203.87,LNG,3,12,1196265,102000,390.94,25.0
BEV_S1_2037,S1,D2,BEV,1964474.87,0.0,Electricity,14,39,3953052,102000,276.82,35.9
Diesel_S1_2037,S1,D2,Diesel,1630482.88,2687609.36,B20,11,39,3953052,102000,352.32,28.21
LNG_S1_2037,S1,D2,LNG,2285386.39,1520741.51,LNG,14,39,3953052,102000,276.82,35.9
BEV_S1_2037,S1,D4,BEV,435010.1,0.0,Electricity,3,7,630092,102000,205.91,42.86
LNG_S1_2037,S1,D4,LNG,664049.42,242396.78,LNG,4,7,630092,102000,154.43,57.14
Diesel_S2_2037,S2,D1,Diesel,1086217.38,956789.04,B20,6,14,1402031,106000,220.45,42.86
LNG_S2_2037,S2,D1,LNG,1731396.45,542959.44,LNG,8,14,1402031,106000,165.33,57.14
BEV_S2_2037,S2,D2,BEV,668139.54,0.0,Electricity,3,20,2079105,106000,653.81,15.0
Diesel_S2_2037,S2,D2,Diesel,1585484.01,1418845.14,B20,9,20,2079105,106000,217.94,45.0
LNG_S2_2037,S2,D2,LNG,1743682.47,805167.42,LNG,8,20,2079105,106000,245.18,40.0
Diesel_S2_2037,S2,D3,Diesel,916789.54,772396.94,B20,5,11,1131832,106000,213.55,45.45
LNG_S2_2037,S2,D3,LNG,1306850.58,438320.46,LNG,6,11,1131832,106000,177.96,54.55
Diesel_S2_2037,S2,D4,Diesel,367750.43,127432.34,B20,2,2,186733,106000,88.08,100.0
BEV_S3_2037,S3,D1,BEV,2091543.32,0.0,Electricity,9,43,3128820,73000,476.23,20.93
Diesel_S3_2037,S3,D1,Diesel,3474580.58,2137396.76,B20,18,43,3128820,73000,238.11,41.86
LNG_S3_2037,S3,D1,LNG,3905230.09,1197513.68,LNG,16,43,3128820,73000,267.88,37.21
BEV_S3_2037,S3,D2,BEV,1423581.97,0.0,Electricity,6,45,3274991,73000,747.71,13.33
Diesel_S3_2037,S3,D2,Diesel,4223355.92,2237250.84,B20,22,45,3274991,73000,203.92,48.89
LNG_S3_2037,S3,D2,LNG,4147136.78,1253458.66,LNG,17,45,3274991,73000,263.9,37.78
Diesel_S3_2037,S3,D3,Diesel,2502440.65,946129.49,B20,13,19,1384988,73000,145.94,68.42
LNG_S3_2037,S3,D3,LNG,1487057.46,530085.49,LNG,6,19,1384988,73000,316.21,31.58
BEV_S3_2037,S3,D4,BEV,695481.93,0.0,Electricity,3,5,292856,73000,133.72,60.0
LNG_S3_2037,S3,D4,LNG,505654.59,112086.69,LNG,2,5,292856,73000,200.59,40.0
BEV_S4_2037,S4,D1,BEV,295019.97,0.0,Electricity,1,1,23254,118000,19.71,100.0
Diesel_S4_2037,S4,D2,Diesel,1524098.11,768352.07,B20,6,10,1146520,118000,161.94,60.0
LNG_S4_2037,S4,D2,LNG,1281907.3,439764.28,LNG,4,10,1146520,118000,242.91,40.0
Diesel_S4_2037,S4,D3,Diesel,513279.83,104892.13,B20,2,2,156518,118000,66.32,100.0
BEV_S4_2037,S4,D4,BEV,293088.01,0.0,Electricity,1,1,2414,118000,2.05,100.0
