Allocation,Size,Distance,Vehicle,Cost ($),carbon_emissions_per_km,Fuel,No_of_vehicles,Max Vehicles,Demand,Yearly Range,Utilization (%),Demand_Fulfillment (%)
BEV_S1_2038,S1,D1,BEV,714752.76,0.0,Electricity,5,13,1254358,102000,245.95,38.46
Diesel_S1_2038,S1,D1,Diesel,577197.99,852815.57,B20,3,13,1254358,102000,409.92,23.08
LNG_S1_2038,S1,D1,LNG,861684.21,482552.29,LNG,5,13,1254358,102000,245.95,38.46
BEV_S1_2038,S1,D2,BEV,1691118.16,0.0,Electricity,12,40,3994169,102000,326.32,30.0
Diesel_S1_2038,S1,D2,Diesel,1808720.34,2715564.08,B20,12,40,3994169,102000,326.32,30.0
LNG_S1_2038,S1,D2,LNG,2678088.37,1536559.25,LNG,16,40,3994169,102000,244.74,40.0
BEV_S1_2038,S1,D3,BEV,2105520.11,0.0,Electricity,15,48,4847871,102000,316.85,31.25
Diesel_S1_2038,S1,D3,Diesel,2226233.7,3295980.8,B20,15,48,4847871,102000,316.85,31.25
LNG_S1_2038,S1,D3,LNG,3011198.77,1864978.93,LNG,18,48,4847871,102000,264.05,37.5
BEV_S1_2038,S1,D4,BEV,434584.4,0.0,Electricity,3,7,642216,102000,209.87,42.86
LNG_S1_2038,S1,D4,LNG,683592.35,247060.89,LNG,4,7,642216,102000,157.41,57.14
Diesel_S2_2038,S2,D1,Diesel,1440069.04,962700.25,B20,8,14,1410693,106000,166.36,57.14
LNG_S2_2038,S2,D1,LNG,1351780.63,546313.94,LNG,6,14,1410693,106000,221.81,42.86
BEV_S2_2038,S2,D2,BEV,1044934.96,0.0,Electricity,5,21,2151804,106000,406.0,23.81
Diesel_S2_2038,S2,D2,Diesel,1474779.92,1468457.17,B20,8,21,2151804,106000,253.75,38.1
LNG_S2_2038,S2,D2,LNG,1795950.32,833321.3,LNG,8,21,2151804,106000,253.75,38.1
BEV_S2_2038,S2,D3,BEV,1424476.51,0.0,Electricity,7,12,1187938,106000,160.1,58.33
LNG_S2_2038,S2,D3,LNG,1132495.86,460048.42,LNG,5,12,1187938,106000,224.14,41.67
BEV_S2_2038,S2,D4,BEV,218294.69,0.0,Electricity,1,2,190889,106000,180.08,50.0
LNG_S2_2038,S2,D4,LNG,247190.25,73924.89,LNG,1,2,190889,106000,180.08,50.0
BEV_S3_2038,S3,D1,BEV,3223799.98,0.0,Electricity,14,45,3229278,73000,315.98,31.11
Diesel_S3_2038,S3,D1,Diesel,3008303.83,2206022.83,B20,15,45,3229278,73000,294.91,33.33
LNG_S3_2038,S3,D1,LNG,4022273.37,1235962.62,LNG,16,45,3229278,73000,276.48,35.56
BEV_S3_2038,S3,D2,BEV,2997054.22,0.0,Electricity,13,46,3297618,73000,347.48,28.26
Diesel_S3_2038,S3,D2,Diesel,2820732.08,2252708.06,B20,14,46,3297618,73000,322.66,30.43
LNG_S3_2038,S3,D2,LNG,4767019.78,1262118.84,LNG,19,46,3297618,73000,237.75,41.3
BEV_S3_2038,S3,D3,BEV,1394361.66,0.0,Electricity,6,20,1448550,73000,330.72,30.0
Diesel_S3_2038,S3,D3,Diesel,1443809.11,989550.72,B20,7,20,1448550,73000,283.47,35.0
LNG_S3_2038,S3,D3,LNG,1776665.52,554412.99,LNG,7,20,1448550,73000,283.47,35.0
BEV_S3_2038,S3,D4,BEV,695536.68,0.0,Electricity,3,5,306910,73000,140.14,60.0
LNG_S3_2038,S3,D4,LNG,521073.07,117465.67,LNG,2,5,306910,73000,210.21,40.0
BEV_S4_2038,S4,D1,BEV,294949.94,0.0,Electricity,1,1,23437,118000,19.86,100.0
BEV_S4_2038,S4,D2,BEV,912663.65,0.0,Electricity,3,10,1148555,118000,324.45,30.0
Diesel_S4_2038,S4,D2,Diesel,1333610.96,769715.84,B20,5,10,1148555,118000,194.67,50.0
LNG_S4_2038,S4,D2,LNG,721043.71,440544.83,LNG,2,10,1148555,118000,486.68,20.0
Diesel_S4_2038,S4,D3,Diesel,529326.47,108154.47,B20,2,2,161386,118000,68.38,100.0
BEV_S4_2038,S4,D4,BEV,293081.9,0.0,Electricity,1,1,2446,118000,2.07,100.0
