Allocation,Size,Distance,Vehicle,Cost ($),carbon_emissions_per_km,Fuel,No_of_vehicles,Max Vehicles,Demand,Yearly Range,Utilization (%),Demand_Fulfillment (%)
BEV_S1_2030,S1,D1,BEV,340005.1,0.0,Electricity,2,10,1009798,102000,495.0,20.0
Diesel_S1_2030,S1,D1,Diesel,617768.35,686543.6,B20,5,10,1009798,102000,198.0,50.0
LNG_S1_2030,S1,D1,LNG,441670.11,388469.91,LNG,3,10,1009798,102000,330.0,30.0
BEV_S1_2030,S1,D2,BEV,899049.11,0.0,Electricity,6,33,3285854,102000,536.9,18.18
Diesel_S1_2030,S1,D2,Diesel,1731275.4,2233993.37,B20,15,33,3285854,102000,214.76,45.45
LNG_S1_2030,S1,D2,LNG,1605534.15,1264070.04,LNG,12,33,3285854,102000,268.45,36.36
BEV_S1_2030,S1,D3,BEV,791178.64,0.0,Electricity,5,39,3959514,102000,776.38,12.82
Diesel_S1_2030,S1,D3,Diesel,1957269.08,2692002.76,B20,17,39,3959514,102000,228.35,43.59
LNG_S1_2030,S1,D3,LNG,2251219.06,1523227.45,LNG,17,39,3959514,102000,228.35,43.59
Diesel_S1_2030,S1,D4,Diesel,384619.98,337407.14,B20,3,5,496273,102000,162.18,60.0
LNG_S1_2030,S1,D4,LNG,298013.03,190916.53,LNG,2,5,496273,102000,243.27,40.0
Diesel_S2_2030,S2,D1,Diesel,878463.62,840272.18,B20,6,12,1231293,106000,193.6,50.0
LNG_S2_2030,S2,D1,LNG,1071361.96,476838.36,LNG,6,12,1231293,106000,193.6,50.0
Diesel_S2_2030,S2,D2,Diesel,1148932.22,1108429.92,B20,8,16,1624238,106000,191.54,50.0
LNG_S2_2030,S2,D2,LNG,1417806.13,629012.73,LNG,8,16,1624238,106000,191.54,50.0
Diesel_S2_2030,S2,D3,Diesel,862640.89,635669.21,B20,6,9,931478,106000,146.46,66.67
LNG_S2_2030,S2,D3,LNG,567122.39,360730.09,LNG,3,9,931478,106000,292.92,33.33
LNG_S2_2030,S2,D4,LNG,358538.92,60245.09,LNG,2,2,155565,106000,73.38,100.0
BEV_S3_2030,S3,D1,BEV,613528.15,0.0,Electricity,2,35,2518188,73000,1724.79,5.71
Diesel_S3_2030,S3,D1,Diesel,2666124.09,1720254.56,B20,17,35,2518188,73000,202.92,48.57
LNG_S3_2030,S3,D1,LNG,3176016.3,963802.51,LNG,16,35,2518188,73000,215.6,45.71
BEV_S3_2030,S3,D2,BEV,802005.91,0.0,Electricity,3,39,2800498,73000,1278.77,7.69
Diesel_S3_2030,S3,D2,Diesel,2822555.86,1913109.53,B20,18,39,2800498,73000,213.13,46.15
LNG_S3_2030,S3,D2,LNG,3569808.07,1071852.86,LNG,18,39,2800498,73000,213.13,46.15
Diesel_S3_2030,S3,D3,Diesel,1429466.83,831077.1,B20,9,17,1216569,73000,185.17,52.94
LNG_S3_2030,S3,D3,LNG,1598976.3,465625.38,LNG,8,17,1216569,73000,208.32,47.06
Diesel_S3_2030,S3,D4,Diesel,487645.7,164475.62,B20,3,4,240767,73000,109.94,75.0
LNG_S3_2030,S3,D4,LNG,233019.38,92150.32,LNG,1,4,240767,73000,329.82,25.0
Diesel_S4_2030,S4,D1,Diesel,202858.21,12175.47,B20,1,1,18168,118000,15.4,100.0
BEV_S4_2030,S4,D2,BEV,642448.45,0.0,Electricity,2,8,919290,118000,389.53,25.0
LNG_S4_2030,S4,D2,LNG,1536148.02,352606.94,LNG,6,8,919290,118000,129.84,75.0
LNG_S4_2030,S4,D3,LNG,514610.95,52296.71,LNG,2,2,136344,118000,57.77,100.0
Diesel_S4_2030,S4,D4,Diesel,197866.12,1416.72,B20,1,1,2114,118000,1.79,100.0
