Allocation,Size,Distance,Vehicle,Cost ($),carbon_emissions_per_km,Fuel,No_of_vehicles,Max Vehicles,Demand,Yearly Range,Utilization (%),Demand_Fulfillment (%)
BEV_S1_2033,S1,D1,BEV,454774.63,0.0,Electricity,3,11,1070915,102000,349.97,27.27
Diesel_S1_2033,S1,D1,Diesel,574306.01,728095.96,B20,4,11,1070915,102000,262.48,36.36
LNG_S1_2033,S1,D1,LNG,609341.07,411981.65,LNG,4,11,1070915,102000,262.48,36.36
BEV_S1_2033,S1,D2,BEV,1557795.33,0.0,Electricity,11,35,3491886,102000,311.22,31.43
Diesel_S1_2033,S1,D2,Diesel,1438612.85,2374070.85,B20,11,35,3491886,102000,311.22,31.43
LNG_S1_2033,S1,D2,LNG,1891560.8,1343330.67,LNG,13,35,3491886,102000,263.34,37.14
BEV_S1_2033,S1,D3,BEV,2108013.77,0.0,Electricity,15,43,4290083,102000,280.4,34.88
Diesel_S1_2033,S1,D3,Diesel,1798171.13,2916750.71,B20,14,43,4290083,102000,300.43,32.56
LNG_S1_2033,S1,D3,LNG,2039599.57,1650397.55,LNG,14,43,4290083,102000,300.43,32.56
BEV_S1_2033,S1,D4,BEV,308016.09,0.0,Electricity,2,6,563313,102000,276.13,33.33
LNG_S1_2033,S1,D4,LNG,590607.49,216706.85,LNG,4,6,563313,102000,138.07,66.67
Diesel_S2_2033,S2,D1,Diesel,1098891.01,875576.37,B20,7,13,1283026,106000,172.91,53.85
LNG_S2_2033,S2,D1,LNG,1168564.54,496872.81,LNG,6,13,1283026,106000,201.73,46.15
BEV_S2_2033,S2,D2,BEV,500195.08,0.0,Electricity,2,17,1790314,106000,844.49,11.76
Diesel_S2_2033,S2,D2,Diesel,1400470.2,1221765.29,B20,9,17,1790314,106000,187.66,52.94
LNG_S2_2033,S2,D2,LNG,1181129.11,693328.38,LNG,6,17,1790314,106000,281.5,35.29
Diesel_S2_2033,S2,D3,Diesel,945539.51,687384.49,B20,6,10,1007259,106000,158.37,60.0
LNG_S2_2033,S2,D3,LNG,795279.47,390077.52,LNG,4,10,1007259,106000,237.56,40.0
LNG_S2_2033,S2,D4,LNG,391422.41,65115.35,LNG,2,2,168141,106000,79.31,100.0
Diesel_S3_2033,S3,D1,Diesel,3414733.28,1927108.95,B20,20,39,2820991,73000,193.22,51.28
LNG_S3_2033,S3,D1,LNG,4112522.29,1079696.28,LNG,19,39,2820991,73000,203.39,48.72
BEV_S3_2033,S3,D2,BEV,1427105.82,0.0,Electricity,6,41,2974170,73000,679.03,14.63
Diesel_S3_2033,S3,D2,Diesel,2592277.33,2031750.41,B20,15,41,2974170,73000,271.61,36.59
LNG_S3_2033,S3,D2,LNG,4327857.69,1138323.47,LNG,20,41,2974170,73000,203.71,48.78
Diesel_S3_2033,S3,D3,Diesel,1726438.87,867672.47,B20,10,18,1270139,73000,173.99,55.56
LNG_S3_2033,S3,D3,LNG,1745724.96,486128.58,LNG,8,18,1270139,73000,217.49,44.44
LNG_S3_2033,S3,D4,LNG,870834.87,100396.76,LNG,4,4,262313,73000,89.83,100.0
Diesel_S4_2033,S4,D1,Diesel,222102.9,13370.37,B20,1,1,19951,118000,16.91,100.0
Diesel_S4_2033,S4,D2,Diesel,1144589.89,678988.89,B20,5,9,1013174,118000,171.72,55.56
LNG_S4_2033,S4,D2,LNG,1139622.44,388617.5,LNG,4,9,1013174,118000,214.66,44.44
LNG_S4_2033,S4,D3,LNG,561934.93,56103.97,LNG,2,2,146270,118000,61.98,100.0
Diesel_S4_2033,S4,D4,Diesel,216235.42,1498.48,B20,1,1,2236,118000,1.89,100.0
