Allocation,Size,Distance,Vehicle,Cost ($),carbon_emissions_per_km,Fuel,No_of_vehicles,Max Vehicles,Demand,Yearly Range,Utilization (%),Demand_Fulfillment (%)
BEV_S1_2035,S1,D1,BEV,714693.05,0.0,Electricity,5,11,1106719,102000,217.0,45.45
Diesel_S1_2035,S1,D1,Diesel,610806.75,752438.46,B20,4,11,1106719,102000,271.25,36.36
LNG_S1_2035,S1,D1,LNG,382998.64,425755.47,LNG,2,11,1106719,102000,542.51,18.18
BEV_S1_2035,S1,D2,BEV,1965227.2,0.0,Electricity,14,37,3746146,102000,262.34,37.84
Diesel_S1_2035,S1,D2,Diesel,1415891.1,2546937.67,B20,10,37,3746146,102000,367.27,27.03
LNG_S1_2035,S1,D2,LNG,2006741.8,1441144.65,LNG,13,37,3746146,102000,282.51,35.14
BEV_S1_2035,S1,D3,BEV,2243319.57,0.0,Electricity,16,44,4476447,102000,274.29,36.36
Diesel_S1_2035,S1,D3,Diesel,1555683.64,3043456.26,B20,11,44,4476447,102000,398.97,25.0
LNG_S1_2035,S1,D3,LNG,2607639.09,1722091.89,LNG,17,44,4476447,102000,258.16,38.64
Diesel_S1_2035,S1,D4,Diesel,565376.26,399903.94,B20,4,6,588196,102000,144.17,66.67
LNG_S1_2035,S1,D4,LNG,345171.28,226279.36,LNG,2,6,588196,102000,288.33,33.33
Diesel_S2_2035,S2,D1,Diesel,1168099.18,921645.22,B20,7,13,1350533,106000,182.01,53.85
LNG_S2_2035,S2,D1,LNG,1239081.82,523016.0,LNG,6,13,1350533,106000,212.35,46.15
Diesel_S2_2035,S2,D2,Diesel,1790801.35,1320244.82,B20,11,19,1934621,106000,165.92,57.89
LNG_S2_2035,S2,D2,LNG,1643547.49,749213.63,LNG,8,19,1934621,106000,228.14,42.11
Diesel_S2_2035,S2,D3,Diesel,1153190.83,719193.27,B20,7,10,1053870,106000,142.03,70.0
LNG_S2_2035,S2,D3,LNG,654607.23,408128.4,LNG,3,10,1053870,106000,331.41,30.0
LNG_S2_2035,S2,D4,LNG,415000.55,68518.65,LNG,2,2,176929,106000,83.46,100.0
BEV_S3_2035,S3,D1,BEV,2091826.44,0.0,Electricity,9,40,2908543,73000,442.7,22.5
Diesel_S3_2035,S3,D1,Diesel,2921755.69,1986918.52,B20,16,40,2908543,73000,249.02,40.0
LNG_S3_2035,S3,D1,LNG,3454342.42,1113205.62,LNG,15,40,2908543,73000,265.62,37.5
BEV_S3_2035,S3,D2,BEV,795684.33,0.0,Electricity,3,45,3247401,73000,1482.83,6.67
Diesel_S3_2035,S3,D2,Diesel,5041890.55,2218403.23,B20,28,45,3247401,73000,158.87,62.22
LNG_S3_2035,S3,D2,LNG,3231453.32,1242898.96,LNG,14,45,3247401,73000,317.75,31.11
Diesel_S3_2035,S3,D3,Diesel,2358764.18,929289.6,B20,13,19,1360337,73000,143.34,68.42
LNG_S3_2035,S3,D3,LNG,1403389.18,520650.65,LNG,6,19,1360337,73000,310.58,31.58
BEV_S3_2035,S3,D4,BEV,471468.63,0.0,Electricity,2,4,274741,73000,188.18,50.0
LNG_S3_2035,S3,D4,LNG,476766.69,105153.41,LNG,2,4,274741,73000,188.18,50.0
BEV_S4_2035,S4,D1,BEV,295043.78,0.0,Electricity,1,1,21666,118000,18.36,100.0
Diesel_S4_2035,S4,D2,Diesel,1435492.79,742394.75,B20,6,10,1107787,118000,156.47,60.0
LNG_S4_2035,S4,D2,LNG,1209760.93,424907.68,LNG,4,10,1107787,118000,234.7,40.0
Diesel_S4_2035,S4,D3,Diesel,482729.79,98908.94,B20,2,2,147590,118000,62.54,100.0
BEV_S4_2035,S4,D4,BEV,293102.54,0.0,Electricity,1,1,2369,118000,2.01,100.0
