Allocation,Operating Year,Size,Distance_demand,Demand (km),ID,Vehicle,Available Year,Cost ($),Yearly range (km),Distance_vehicle,Fuel,carbon_emissions_per_km,insurance_cost,maintenance_cost,fuel_costs_per_km,Total_Cost,Topsis_Score,Rank,Distance
BEV_S1_2032,2032,S1,D1,1069740,BEV_S1_2032,BEV,2032,130589,102000,D4,Electricity,0.0,6529.450000000001,1305.89,0.115272681258,138424.45527268125,0.9231737902447027,1.0,D1
Diesel_S1_2032,2032,S1,D1,1069740,Diesel_S1_2032,Diesel,2032,110905,102000,D4,B20,0.6798821172799999,5545.25,1109.05,0.32902442544,117559.62902442543,0.0768262097552972,5.0,D1
Diesel_S1_2032,2032,S1,D1,1069740,Diesel_S1_2032,Diesel,2032,110905,102000,D4,HVO,0.108747953984,5545.25,1109.05,0.367028582,117559.667028582,0.8407038370144647,3.0,D1
LNG_S1_2032,2032,S1,D1,1069740,LNG_S1_2032,LNG,2032,130477,102000,D4,LNG,0.38470060965,6523.85,1304.77,0.14849175222,138305.7684917522,0.43156855363490076,4.0,D1
LNG_S1_2032,2032,S1,D1,1069740,LNG_S1_2032,LNG,2032,130477,102000,D4,BioLNG,0.058423791259,6523.85,1304.77,0.15931192914,138305.77931192913,0.8845565064589225,2.0,D1
BEV_S1_2032,2032,S1,D2,3430934,BEV_S1_2032,BEV,2032,130589,102000,D4,Electricity,0.0,6529.450000000001,1305.89,0.115272681258,138424.45527268125,0.9231737902447027,1.0,D2
Diesel_S1_2032,2032,S1,D2,3430934,Diesel_S1_2032,Diesel,2032,110905,102000,D4,B20,0.6798821172799999,5545.25,1109.05,0.32902442544,117559.62902442543,0.0768262097552972,5.0,D2
Diesel_S1_2032,2032,S1,D2,3430934,Diesel_S1_2032,Diesel,2032,110905,102000,D4,HVO,0.108747953984,5545.25,1109.05,0.367028582,117559.667028582,0.8407038370144647,3.0,D2
LNG_S1_2032,2032,S1,D2,3430934,LNG_S1_2032,LNG,2032,130477,102000,D4,LNG,0.38470060965,6523.85,1304.77,0.14849175222,138305.7684917522,0.43156855363490076,4.0,D2
LNG_S1_2032,2032,S1,D2,3430934,LNG_S1_2032,LNG,2032,130477,102000,D4,BioLNG,0.058423791259,6523.85,1304.77,0.15931192914,138305.77931192913,0.8845565064589225,2.0,D2
BEV_S1_2032,2032,S1,D3,4237026,BEV_S1_2032,BEV,2032,130589,102000,D4,Electricity,0.0,6529.450000000001,1305.89,0.115272681258,138424.45527268125,0.9231737902447027,1.0,D3
Diesel_S1_2032,2032,S1,D3,4237026,Diesel_S1_2032,Diesel,2032,110905,102000,D4,B20,0.6798821172799999,5545.25,1109.05,0.32902442544,117559.62902442543,0.0768262097552972,5.0,D3
Diesel_S1_2032,2032,S1,D3,4237026,Diesel_S1_2032,Diesel,2032,110905,102000,D4,HVO,0.108747953984,5545.25,1109.05,0.367028582,117559.667028582,0.8407038370144647,3.0,D3
LNG_S1_2032,2032,S1,D3,4237026,LNG_S1_2032,LNG,2032,130477,102000,D4,LNG,0.38470060965,6523.85,1304.77,0.14849175222,138305.7684917522,0.43156855363490076,4.0,D3
LNG_S1_2032,2032,S1,D3,4237026,LNG_S1_2032,LNG,2032,130477,102000,D4,BioLNG,0.058423791259,6523.85,1304.77,0.15931192914,138305.77931192913,0.8845565064589225,2.0,D3
BEV_S1_2032,2032,S1,D4,542921,BEV_S1_2032,BEV,2032,130589,102000,D4,Electricity,0.0,6529.450000000001,1305.89,0.115272681258,138424.45527268125,0.9231737902447027,1.0,D4
Diesel_S1_2032,2032,S1,D4,542921,Diesel_S1_2032,Diesel,2032,110905,102000,D4,B20,0.6798821172799999,5545.25,1109.05,0.32902442544,117559.62902442543,0.0768262097552972,5.0,D4
Diesel_S1_2032,2032,S1,D4,542921,Diesel_S1_2032,Diesel,2032,110905,102000,D4,HVO,0.108747953984,5545.25,1109.05,0.367028582,117559.667028582,0.8407038370144647,3.0,D4
LNG_S1_2032,2032,S1,D4,542921,LNG_S1_2032,LNG,2032,130477,102000,D4,LNG,0.38470060965,6523.85,1304.77,0.14849175222,138305.7684917522,0.43156855363490076,4.0,D4
LNG_S1_2032,2032,S1,D4,542921,LNG_S1_2032,LNG,2032,130477,102000,D4,BioLNG,0.058423791259,6523.85,1304.77,0.15931192914,138305.77931192913,0.8845565064589225,2.0,D4
