Allocation,Vehicle,Fuel,no_of_vehicles,Max Vehicles,Demand,Assigned Demand,Yearly Range,Utilization,Demand_Fulfillment,Carbon Emissions,Emissions Per KM
"Size S1, Distance D1",BEV,Electricity,10,10,923004,923004,102000,90.49,100.0,0.0,0.0
"Size S1, Distance D2",BEV,Electricity,30,32,3023153,3023153,102000,98.8,100.0,0.0,0.0
"Size S1, Distance D3",LNG,BioLNG,36,37,3581681,3581681,102000,97.54,100.0,216149.19,0.0603
"Size S1, Distance D4",LNG,BioLNG,5,5,467174,467174,102000,91.6,100.0,28193.27,0.0603
"Size S2, Distance D1",BEV,Electricity,11,12,1114957,1114957,106000,95.62,100.0,0.0,0.0
"Size S2, Distance D2",BEV,Electricity,14,15,1480077,1480077,106000,99.74,100.0,0.0,0.0
"Size S2, Distance D3",LNG,BioLNG,9,9,862851,862851,106000,90.45,100.0,52628.21,0.061
"Size S2, Distance D4",LNG,BioLNG,2,2,146448,146448,106000,69.08,100.0,8932.36,0.061
"Size S3, Distance D1",BEV,Electricity,33,35,2381369,2381369,73000,98.85,100.0,0.0,0.0
"Size S3, Distance D2",BEV,Electricity,36,38,2591566,2591566,73000,98.61,100.0,0.0,0.0
"Size S3, Distance D3",LNG,BioLNG,16,17,1137494,1137494,73000,97.39,100.0,69148.45,0.0608
"Size S3, Distance D4",LNG,BioLNG,4,4,224937,224937,73000,77.03,100.0,13673.96,0.0608
"Size S4, Distance D1",BEV,Electricity,1,1,16532,16532,118000,14.01,100.0,0.0,0.0
"Size S4, Distance D2",BEV,Electricity,8,8,829347,829347,118000,87.85,100.0,0.0,0.0
"Size S4, Distance D3",LNG,BioLNG,2,2,129765,129765,118000,54.99,100.0,7868.25,0.0606
"Size S4, Distance D4",LNG,BioLNG,1,1,2019,2019,118000,1.71,100.0,122.42,0.0606
