Allocation,Vehicle,Fuel,no_of_vehicles,Max Vehicles,Demand,Assigned Demand,Yearly Range,Utilization,Demand_Fulfillment,Carbon Emissions,Emissions Per KM
"Size S1, Distance D1",BEV,Electricity,9,10,877707,877707,102000,95.61,100.0,0.0,0.0
"Size S1, Distance D2",LNG,BioLNG,28,30,2836223,2836223,102000,99.31,100.0,177271.33,0.0625
"Size S1, Distance D3",LNG,BioLNG,34,36,3446113,3446113,102000,99.37,100.0,215391.05,0.0625
"Size S1, Distance D4",LNG,BioLNG,5,5,439767,439767,102000,86.23,100.0,27486.58,0.0625
"Size S2, Distance D1",BEV,Electricity,11,11,1082065,1082065,106000,92.8,100.0,0.0,0.0
"Size S2, Distance D2",LNG,BioLNG,14,14,1410584,1410584,106000,95.05,100.0,89246.7,0.0633
"Size S2, Distance D3",LNG,BioLNG,8,9,821678,821678,106000,96.9,100.0,51987.01,0.0633
"Size S2, Distance D4",LNG,BioLNG,2,2,137231,137231,106000,64.73,100.0,8682.51,0.0633
"Size S3, Distance D1",BEV,Electricity,31,33,2255136,2255136,73000,99.65,100.0,0.0,0.0
"Size S3, Distance D2",LNG,BioLNG,35,36,2501227,2501227,73000,97.9,100.0,155883.59,0.0623
"Size S3, Distance D3",LNG,BioLNG,15,16,1053662,1053662,73000,96.22,100.0,65667.22,0.0623
"Size S3, Distance D4",LNG,BioLNG,3,4,218537,218537,73000,99.79,100.0,13619.85,0.0623
"Size S4, Distance D1",BEV,Electricity,1,1,15615,15615,118000,13.23,100.0,0.0,0.0
"Size S4, Distance D2",LNG,BioLNG,7,8,791079,791079,118000,95.77,100.0,49722.62,0.0629
"Size S4, Distance D3",LNG,BioLNG,2,2,123252,123252,118000,52.23,100.0,7746.9,0.0629
"Size S4, Distance D4",LNG,BioLNG,1,1,1927,1927,118000,1.63,100.0,121.12,0.0629
