Allocation,Vehicle,Fuel,no_of_vehicles,Max Vehicles,Demand,Assigned Demand,Yearly Range,Utilization,Demand_Fulfillment,Carbon Emissions,Emissions Per KM
"Size S1, Distance D1",BEV,Electricity,12,13,1196265,1196265,102000,97.73,100.0,0.0,0.0
"Size S1, Distance D2",BEV,Electricity,39,41,3953052,3953052,102000,99.37,100.0,0.0,0.0
"Size S1, Distance D3",BEV,Electricity,46,49,4663966,4663966,102000,99.4,100.0,0.0,0.0
"Size S1, Distance D4",BEV,Electricity,7,7,630092,630092,102000,88.25,100.0,0.0,0.0
"Size S2, Distance D1",BEV,Electricity,14,14,1402031,1402031,106000,94.48,100.0,0.0,0.0
"Size S2, Distance D2",BEV,Electricity,20,21,2079105,2079105,106000,98.07,100.0,0.0,0.0
"Size S2, Distance D3",BEV,Electricity,11,12,1131832,1131832,106000,97.07,100.0,0.0,0.0
"Size S2, Distance D4",BEV,Electricity,2,2,186733,186733,106000,88.08,100.0,0.0,0.0
"Size S3, Distance D1",BEV,Electricity,43,46,3128820,3128820,73000,99.68,100.0,0.0,0.0
"Size S3, Distance D2",BEV,Electricity,45,48,3274991,3274991,73000,99.7,100.0,0.0,0.0
"Size S3, Distance D3",BEV,Electricity,19,20,1384988,1384988,73000,99.85,100.0,0.0,0.0
"Size S3, Distance D4",BEV,Electricity,5,5,292856,292856,73000,80.23,100.0,0.0,0.0
"Size S4, Distance D1",BEV,Electricity,1,1,23254,23254,118000,19.71,100.0,0.0,0.0
"Size S4, Distance D2",BEV,Electricity,10,11,1146520,1146520,118000,97.16,100.0,0.0,0.0
"Size S4, Distance D3",BEV,Electricity,2,2,156518,156518,118000,66.32,100.0,0.0,0.0
"Size S4, Distance D4",BEV,Electricity,1,1,2414,2414,118000,2.05,100.0,0.0,0.0
