Allocation,Vehicle,Fuel,no_of_vehicles,Max Vehicles,Demand,Assigned Demand,Yearly Range,Utilization,Demand_Fulfillment,Carbon Emissions,Emissions Per KM
"Size S1, Distance D1",BEV,Electricity,9,9,869181,869181,102000,94.68,100.0,0.0,0.0
"Size S1, Distance D2",LNG,BioLNG,26,27,2597094,2597094,102000,97.93,100.0,162325.15,0.0625
"Size S1, Distance D3",LNG,BioLNG,33,34,3292011,3292011,102000,97.8,100.0,205759.27,0.0625
"Size S1, Distance D4",LNG,BioLNG,5,5,414315,414315,102000,81.24,100.0,25895.77,0.0625
"Size S2, Distance D1",BEV,Electricity,10,10,995694,995694,106000,93.93,100.0,0.0,0.0
"Size S2, Distance D2",LNG,BioLNG,14,14,1383196,1383196,106000,93.21,100.0,87513.88,0.0633
"Size S2, Distance D3",LNG,BioLNG,8,8,778008,778008,106000,91.75,100.0,49224.04,0.0633
"Size S2, Distance D4",LNG,BioLNG,2,2,133677,133677,106000,63.06,100.0,8457.65,0.0633
"Size S3, Distance D1",BEV,Electricity,30,32,2183475,2183475,73000,99.7,100.0,0.0,0.0
"Size S3, Distance D2",LNG,BioLNG,34,35,2431901,2431901,73000,97.98,100.0,151563.0,0.0623
"Size S3, Distance D3",LNG,BioLNG,14,15,1002466,1002466,73000,98.09,100.0,62476.54,0.0623
"Size S3, Distance D4",LNG,BioLNG,3,3,205426,205426,73000,93.8,100.0,12802.73,0.0623
"Size S4, Distance D1",BEV,Electricity,1,1,14576,14576,118000,12.35,100.0,0.0,0.0
"Size S4, Distance D2",LNG,BioLNG,7,7,754717,754717,118000,91.37,100.0,47437.12,0.0629
"Size S4, Distance D3",LNG,BioLNG,2,2,118899,118899,118000,50.38,100.0,7473.3,0.0629
"Size S4, Distance D4",LNG,BioLNG,1,1,1809,1809,118000,1.53,100.0,113.7,0.0629
