Allocation,Vehicle,Fuel,no_of_vehicles,Max Vehicles,Demand,Assigned Demand,Yearly Range,Utilization,Demand_Fulfillment,Carbon Emissions,Emissions Per KM
"Size S1, Distance D1",BEV,Electricity,10,10,968137,968137,102000,94.92,100.0,0.0,0.0
"Size S1, Distance D2",BEV,Electricity,31,33,3114155,3114155,102000,98.49,100.0,0.0,0.0
"Size S1, Distance D3",LNG,BioLNG,37,39,3731269,3731269,102000,98.87,100.0,219913.87,0.0589
"Size S1, Distance D4",LNG,BioLNG,5,5,469168,469168,102000,91.99,100.0,27651.87,0.0589
"Size S2, Distance D1",BEV,Electricity,11,12,1142178,1142178,106000,97.96,100.0,0.0,0.0
"Size S2, Distance D2",BEV,Electricity,15,16,1546703,1546703,106000,97.28,100.0,0.0,0.0
"Size S2, Distance D3",LNG,BioLNG,9,9,902415,902415,106000,94.59,100.0,54083.76,0.0599
"Size S2, Distance D4",LNG,BioLNG,2,2,148036,148036,106000,69.83,100.0,8872.13,0.0599
"Size S3, Distance D1",BEV,Electricity,34,36,2448472,2448472,73000,98.65,100.0,0.0,0.0
"Size S3, Distance D2",BEV,Electricity,37,39,2667924,2667924,73000,98.78,100.0,0.0,0.0
"Size S3, Distance D3",LNG,BioLNG,16,17,1155329,1155329,73000,98.92,100.0,68073.65,0.0589
"Size S3, Distance D4",LNG,BioLNG,4,4,233462,233462,73000,79.95,100.0,13755.92,0.0589
"Size S4, Distance D1",BEV,Electricity,1,1,16863,16863,118000,14.29,100.0,0.0,0.0
"Size S4, Distance D2",BEV,Electricity,8,8,851953,851953,118000,90.25,100.0,0.0,0.0
"Size S4, Distance D3",LNG,BioLNG,2,2,133929,133929,118000,56.75,100.0,7905.58,0.059
"Size S4, Distance D4",LNG,BioLNG,1,1,2066,2066,118000,1.75,100.0,121.95,0.059
